Subject,Session,Block,Condition,Trial,whetherCued,leftStim,rightStim,midStim,remCueLoc,fogCueLoc,neutralCueLoc,probeCueLoc,probeRem,probeForget,probeNeutral,Target,Estimate,RT,Error,Points
112,2,1,1,1,1,137.5392,347.928,18.8144,1,3,2,2,0,0,1,347.928,345.5955,2.4117,-2.3326,40,
112,2,1,2,2,1,17.7694,108.4003,196.8359,3,2,1,1,0,0,1,17.7694,199.3915,1.4309,-178.3779,-20,
112,2,1,2,3,1,135.7013,16.3007,195.4341,2,3,1,3,0,1,0,195.4341,NaN,100000,999,0,
112,2,1,3,4,1,346.1034,285.0065,135.9459,3,2,1,3,1,0,0,135.9459,124.2009,0.99056,-11.745,30,
112,2,1,1,5,1,105.3418,17.1816,75.8693,3,2,1,3,1,0,0,75.8693,47.3173,1.9606,-28.5519,10,
112,2,1,3,6,1,166.1401,16.8543,319.4546,1,3,2,1,1,0,0,166.1401,144.3458,1.6912,-21.7944,10,
112,2,1,2,7,1,347.6621,78.5825,225.8965,1,2,3,1,1,0,0,347.6621,330.2042,1.4512,-17.458,20,
112,2,1,1,8,1,169.6783,319.0936,48.6413,3,1,2,3,1,0,0,48.6413,53.535,1.341,4.8937,30,
112,2,1,2,9,1,108.812,17.8803,78.7383,1,3,2,3,0,1,0,78.7383,NaN,100000,999,0,
112,2,1,3,10,1,347.6614,136.397,49.7312,3,1,2,2,0,0,1,136.397,NaN,100000,999,0,
112,2,1,2,11,1,78.6346,196.8692,47.9079,1,2,3,3,0,0,1,47.9079,53.4389,1.6008,5.531,30,
112,2,1,3,12,1,45.7597,16.9855,196.8736,3,1,2,3,1,0,0,196.8736,212.8923,1.2908,16.0187,20,
112,2,1,1,13,1,138.2116,316.1063,79.1853,3,1,2,2,0,0,1,316.1063,325.6277,1.3409,9.5214,30,
112,2,1,2,14,1,319.2929,289.5553,168.4982,3,2,1,1,0,0,1,319.2929,317.8458,1.8312,-1.4471,40,
112,2,1,3,15,1,287.6468,199.1499,49.2938,3,2,1,3,1,0,0,49.2938,29.0384,0.86045,-20.2554,20,
112,2,1,2,16,1,169.2518,139.5582,198.1964,2,3,1,2,1,0,0,139.5582,118.5054,1.441,-21.0529,10,
112,2,1,2,17,1,169.1329,48.3844,286.038,1,2,3,2,0,1,0,48.3844,NaN,100000,999,0,
112,2,1,2,18,1,287.2569,316.9132,48.9482,3,1,2,1,0,1,0,287.2569,NaN,100000,999,0,
112,2,1,3,19,1,228.7938,349.9761,315.9329,3,1,2,3,1,0,0,315.9329,325.1069,1.5215,9.1741,30,
112,2,1,3,20,1,285.9688,47.1618,258.7458,2,3,1,1,0,0,1,285.9688,NaN,100000,999,0,
112,2,1,3,21,1,19.6749,137.3974,346.159,1,2,3,2,0,1,0,137.3974,NaN,100000,999,0,
112,2,1,2,22,1,287.6548,259.506,317.7028,3,2,1,3,1,0,0,317.7028,322.9368,1.2309,5.234,30,
112,2,1,3,23,1,105.9911,165.9754,316.6342,2,1,3,2,1,0,0,165.9754,158.5398,1.8213,-7.4356,30,
112,2,1,1,24,1,109.0699,259.4922,77.1462,3,2,1,3,1,0,0,77.1462,65.7146,1.8312,-11.4316,30,
112,2,1,1,25,1,315.4649,347.3174,285.0467,3,2,1,3,1,0,0,285.0467,277.2278,1.351,-7.8188,30,
112,2,1,1,26,1,77.1828,225.2461,105.2482,3,2,1,3,1,0,0,105.2482,120.3729,1.5911,15.1248,20,
112,2,1,2,27,1,17.3062,228.1966,259.5867,1,2,3,1,1,0,0,17.3062,5.1405,1.7613,-12.1657,20,
112,2,1,3,28,1,19.9049,195.6352,286.1612,3,1,2,3,1,0,0,286.1612,290.6088,0.85061,4.4476,30,
112,2,1,1,29,1,19.2845,75.217,318.4581,2,3,1,3,0,1,0,318.4581,354.5411,1.6312,36.083,0,
112,2,1,1,30,1,79.095,348.1246,228.6928,1,2,3,2,0,1,0,348.1246,349.4791,1.2509,1.3545,40,
112,2,1,2,31,1,49.4771,227.9126,257.9137,1,3,2,1,1,0,0,49.4771,30.0529,2.6318,-19.4242,20,
112,2,1,3,32,1,47.0319,136.931,228.049,1,3,2,1,1,0,0,47.0319,32.765,1.0206,-14.2668,20,
112,2,1,2,33,1,77.6151,16.6265,49.1592,3,1,2,3,1,0,0,49.1592,31.9361,1.3309,-17.2231,20,
112,2,1,2,34,1,137.6428,345.2572,78.7844,1,3,2,1,1,0,0,137.6428,145.1123,1.0808,7.4695,30,
112,2,1,1,35,1,168.7425,317.7165,226.6907,1,3,2,3,0,1,0,226.6907,219.1379,1.5611,-7.5527,30,
