Subject,Session,Block,Condition,Trial,whetherCued,leftStim,rightStim,midStim,remCueLoc,fogCueLoc,neutralCueLoc,probeCueLoc,probeRem,probeForget,probeNeutral,Target,Estimate,RT,Error,Points
10101,1,1,1,1,1,137.5392,347.928,18.8144,1,3,2,2,0,0,1,347.928,148.5137,2.0914,160.5856,-20,
10101,1,1,2,2,1,17.7694,108.4003,196.8359,3,2,1,1,0,0,1,17.7694,21.6476,3.7326,3.8782,30,
10101,1,1,2,3,1,135.7013,16.3007,195.4341,2,3,1,3,0,1,0,195.4341,NaN,100000,999,0,
10101,1,1,3,4,1,346.1034,285.0065,135.9459,3,2,1,3,1,0,0,135.9459,124.3959,2.8218,-11.55,30,
10101,1,1,1,5,1,105.3418,17.1816,75.8693,3,2,1,3,1,0,0,75.8693,62.0266,1.5204,-13.8427,20,
10101,1,1,3,6,1,166.1401,16.8543,319.4546,1,3,2,1,1,0,0,166.1401,158.8503,1.6814,-7.2898,30,
10101,1,1,2,7,1,347.6621,78.5825,225.8965,1,2,3,1,1,0,0,347.6621,344.3298,2.4017,-3.3323,30,
10101,1,1,1,8,1,169.6783,319.0936,48.6413,3,1,2,3,1,0,0,48.6413,50.6393,1.4811,1.998,40,
10101,1,1,2,9,1,108.812,17.8803,78.7383,1,3,2,3,0,1,0,78.7383,NaN,100000,999,0,
10101,1,1,3,10,1,347.6614,136.397,49.7312,3,1,2,2,0,0,1,136.397,NaN,100000,999,0,
10101,1,1,2,11,1,78.6346,196.8692,47.9079,1,2,3,3,0,0,1,47.9079,57.3609,1.5008,9.453,30,
10101,1,1,3,12,1,45.7597,16.9855,196.8736,3,1,2,3,1,0,0,196.8736,215.7659,1.341,18.8923,20,
10101,1,1,1,13,1,138.2116,316.1063,79.1853,3,1,2,2,0,0,1,316.1063,321.1413,1.8912,5.035,30,
10101,1,1,2,14,1,319.2929,289.5553,168.4982,3,2,1,1,0,0,1,319.2929,139.9599,1.7512,-179.3329,-20,
10101,1,1,3,15,1,287.6468,199.1499,49.2938,3,2,1,3,1,0,0,49.2938,51.4476,1.1106,2.1538,40,
10101,1,1,2,16,1,169.2518,139.5582,198.1964,2,3,1,2,1,0,0,139.5582,152.3141,2.0916,12.7559,20,
10101,1,1,2,17,1,169.1329,48.3844,286.038,1,2,3,2,0,1,0,48.3844,NaN,100000,999,0,
10101,1,1,2,18,1,287.2569,316.9132,48.9482,3,1,2,1,0,1,0,287.2569,NaN,100000,999,0,
10101,1,1,3,19,1,228.7938,349.9761,315.9329,3,1,2,3,1,0,0,315.9329,298.7436,1.6712,-17.1892,20,
10101,1,1,3,20,1,285.9688,47.1618,258.7458,2,3,1,1,0,0,1,285.9688,NaN,100000,999,0,
10101,1,1,3,21,1,19.6749,137.3974,346.159,1,2,3,2,0,1,0,137.3974,NaN,100000,999,0,
10101,1,1,2,22,1,287.6548,259.506,317.7028,3,2,1,3,1,0,0,317.7028,305.6228,2.2115,-12.0799,20,
10101,1,1,3,23,1,105.9911,165.9754,316.6342,2,1,3,2,1,0,0,165.9754,122.4225,2.5118,-43.5529,-5,
10101,1,1,1,24,1,109.0699,259.4922,77.1462,3,2,1,3,1,0,0,77.1462,89.9325,1.5613,12.7863,20,
10101,1,1,1,25,1,315.4649,347.3174,285.0467,3,2,1,3,1,0,0,285.0467,293.0287,1.2509,7.982,30,
10101,1,1,1,26,1,77.1828,225.2461,105.2482,3,2,1,3,1,0,0,105.2482,104.7643,3.3223,-0.48391,40,
10101,1,1,2,27,1,17.3062,228.1966,259.5867,1,2,3,1,1,0,0,17.3062,25.7764,1.9614,8.4703,30,
10101,1,1,3,28,1,19.9049,195.6352,286.1612,3,1,2,3,1,0,0,286.1612,281.9249,1.8214,-4.2363,30,
10101,1,1,1,29,1,19.2845,75.217,318.4581,2,3,1,3,0,1,0,318.4581,306.0165,1.551,-12.4416,20,
10101,1,1,1,30,1,79.095,348.1246,228.6928,1,2,3,2,0,1,0,348.1246,338.423,2.3116,-9.7016,30,
10101,1,1,2,31,1,49.4771,227.9126,257.9137,1,3,2,1,1,0,0,49.4771,70.0833,2.2816,20.6062,20,
10101,1,1,3,32,1,47.0319,136.931,228.049,1,3,2,1,1,0,0,47.0319,50.683,2.2115,3.6511,30,
10101,1,1,2,33,1,77.6151,16.6265,49.1592,3,1,2,3,1,0,0,49.1592,56.0962,2.2315,6.937,30,
10101,1,1,2,34,1,137.6428,345.2572,78.7844,1,3,2,1,1,0,0,137.6428,125.8653,1.5511,-11.7775,30,
10101,1,1,1,35,1,168.7425,317.7165,226.6907,1,3,2,3,0,1,0,226.6907,227.1051,1.4711,0.41447,40,
10101,1,1,3,36,1,315.1258,197.0721,138.657,3,2,1,3,1,0,0,138.657,127.896,2.4417,-10.761,30,
10101,1,1,1,37,1,315.8145,169.192,195.8378,1,2,3,1,1,0,0,315.8145,315.9813,2.5517,0.16684,40,
10101,1,1,1,38,1,109.7017,135.0292,228.0515,2,3,1,1,0,0,1,109.7017,120.8852,2.2916,11.1835,30,
10101,1,1,2,39,1,256.4523,47.0128,289.3103,2,3,1,2,1,0,0,47.0128,63.7658,1.461,16.753,20,
10101,1,1,2,40,1,319.2054,76.7725,167.1503,3,1,2,3,1,0,0,167.1503,156.4001,3.2922,-10.7502,30,
10101,1,1,2,41,1,289.8173,135.4295,167.5025,3,2,1,1,0,0,1,289.8173,314.2058,2.2015,24.3885,10,
10101,1,1,1,42,1,46.5193,197.4165,346.6891,1,2,3,1,1,0,0,46.5193,37.4118,1.6912,-9.1074,30,
10101,1,1,2,43,1,79.9262,107.7974,169.668,2,3,1,2,1,0,0,107.7974,100.6969,2.0614,-7.1005,30,
10101,1,1,2,44,1,135.5422,165.1806,228.0905,3,1,2,1,0,1,0,135.5422,NaN,100000,999,0,
10101,1,1,1,45,1,259.4502,346.651,166.1485,1,2,3,1,1,0,0,259.4502,259.5389,2.2616,0.088684,40,
10101,1,1,1,46,1,135.5697,19.8928,79.243,2,1,3,3,0,0,1,79.243,66.1962,2.0114,-13.0468,20,
10101,1,1,3,47,1,285.5402,17.2994,137.2544,2,3,1,2,1,0,0,17.2994,13.9268,1.6211,-3.3725,30,
10101,1,1,3,48,1,138.7045,347.534,165.9996,2,3,1,3,0,1,0,165.9996,NaN,100000,999,0,
10101,1,1,3,49,1,169.3879,345.0718,46.4715,1,3,2,1,1,0,0,169.3879,156.4221,2.0514,-12.9658,20,
10101,1,1,1,50,1,227.7164,78.5126,19.7822,1,3,2,3,0,1,0,19.7822,55.8069,1.6712,36.0247,0,
10101,1,1,1,51,1,78.8751,319.5709,48.9128,1,2,3,2,0,1,0,319.5709,334.1088,2.0315,14.5379,20,
10101,1,1,2,52,1,48.4957,168.9813,137.2079,3,2,1,3,1,0,0,137.2079,149.0086,2.7118,11.8007,30,
10101,1,1,1,53,1,315.7287,287.9252,345.3668,2,3,1,2,1,0,0,287.9252,322.1489,1.5611,34.2237,0,
10101,1,1,1,54,1,286.8252,226.5457,315.6046,1,3,2,1,1,0,0,286.8252,301.0083,1.4814,14.1831,20,
10101,1,2,3,55,1,256.6999,319.2336,46.2303,3,1,2,3,1,0,0,46.2303,46.7051,1.2108,0.47471,40,
10101,1,2,1,56,1,135.68,78.9445,105.462,1,3,2,1,1,0,0,135.68,121.6741,1.8212,-14.006,20,
10101,1,2,2,57,1,75.0988,319.8215,349.8519,2,1,3,3,0,0,1,349.8519,16.6724,1.3214,26.8206,10,
10101,1,2,3,58,1,19.6916,226.2771,107.6658,1,2,3,3,0,0,1,107.6658,NaN,100000,999,0,
10101,1,2,2,59,1,138.9798,226.1669,78.0042,1,3,2,1,1,0,0,138.9798,140.875,1.1308,1.8952,40,
10101,1,2,3,60,1,346.4868,16.9821,317.1038,1,3,2,1,1,0,0,346.4868,163.4525,1.7812,176.9657,-20,
10101,1,2,3,61,1,317.7541,79.3545,195.2113,2,1,3,2,1,0,0,79.3545,65.7596,0.87063,-13.5949,20,
10101,1,2,1,62,1,47.5997,169.9459,257.4496,2,3,1,2,1,0,0,169.9459,146.7613,1.8713,-23.1846,10,
10101,1,2,1,63,1,79.0846,195.9474,105.6185,1,3,2,3,0,1,0,105.6185,319.2113,4.0127,-146.4071,-20,
10101,1,2,3,64,1,76.6599,319.1987,286.8586,3,1,2,1,0,1,0,76.6599,NaN,100000,999,0,
