Subject,Session,Block,Condition,Trial,whetherCued,leftStim,rightStim,midStim,remCueLoc,fogCueLoc,neutralCueLoc,probeCueLoc,probeRem,probeForget,probeNeutral,Target,Estimate,RT,Error,Points
126,1,1,1,1,1,18.1866,349.7513,107.3819,1,3,2,1,1,0,0,18.1866,36.6219,2.1592,18.4353,20,
126,1,1,1,2,1,136.2537,316.3149,229.2196,3,1,2,1,0,1,0,136.2537,32.3835,2.9095,-103.8702,-10,
126,1,1,2,3,1,47.7691,75.8942,199.2985,1,2,3,1,1,0,0,47.7691,42.0185,1.5276,-5.7506,30,
126,1,1,2,4,1,228.085,77.8902,346.494,3,2,1,1,0,0,1,228.085,235.6165,1.2846,7.5315,30,
126,1,1,2,5,1,316.2543,138.7984,349.4915,3,2,1,3,1,0,0,349.4915,312.2296,1.7707,-37.262,0,
126,1,1,1,6,1,259.7369,17.9954,289.7444,1,3,2,1,1,0,0,259.7369,240.8901,1.4094,-18.8468,20,
126,1,1,2,7,1,106.7236,46.9239,197.9743,3,1,2,2,0,0,1,46.9239,340.5493,3.6456,-66.3746,-10,
126,1,1,2,8,1,258.0377,108.7544,229.9066,1,2,3,3,0,0,1,229.9066,37.4629,2.0971,167.5563,-10,
126,1,1,1,9,1,196.777,137.8732,347.2997,1,3,2,1,1,0,0,196.777,234.4128,2.0415,37.6358,0,
126,1,1,2,10,1,229.9519,258.5867,199.9003,3,2,1,1,0,0,1,229.9519,227.7915,1.3954,-2.1604,40,
126,1,1,2,11,1,16.9948,286.4196,256.5696,1,2,3,1,1,0,0,16.9948,226.8011,3.8188,-150.1937,-10,
126,1,1,1,12,1,256.8038,346.2903,77.163,1,3,2,1,1,0,0,256.8038,235.7598,3.1942,-21.0441,10,
126,1,1,1,13,1,75.2298,107.1218,15.0451,2,3,1,3,0,1,0,15.0451,46.804,2.236,31.7589,0,
126,1,1,2,14,1,137.2672,106.4855,316.792,1,3,2,2,0,0,1,106.4855,125.5342,1.3817,19.0487,20,
126,1,1,2,15,1,136.2546,165.3306,318.6358,3,2,1,1,0,0,1,136.2546,134.8111,1.5208,-1.4436,40,
126,1,1,1,16,1,348.7958,229.694,139.0535,2,3,1,2,1,0,0,229.694,226.8322,2.4026,-2.8618,40,
126,1,1,1,17,1,169.5725,318.0854,136.6125,3,1,2,3,1,0,0,136.6125,124.2524,1.9234,-12.3601,20,
126,1,1,1,18,1,76.4985,197.7383,49.9591,3,2,1,2,0,1,0,197.7383,188.0507,1.7361,-9.6876,30,
126,1,1,1,19,1,197.6044,349.2332,139.2181,2,1,3,1,0,1,0,197.6044,201.9324,1.9509,4.3281,30,
126,1,1,1,20,1,167.9666,78.631,347.1419,2,3,1,1,0,0,1,167.9666,155.0755,1.2222,-12.8911,20,
126,1,1,2,21,1,349.691,19.4936,48.4743,3,2,1,3,1,0,0,48.4743,76.9958,1.2568,28.5215,10,
126,1,1,1,22,1,199.7903,76.0327,225.7985,2,1,3,2,1,0,0,76.0327,61.7884,2.2428,-14.2443,20,
126,1,1,1,23,1,227.8605,198.5861,109.8828,2,1,3,2,1,0,0,198.5861,184.9849,3.4165,-13.6012,20,
126,1,1,1,24,1,135.1475,259.9972,348.0257,1,2,3,2,0,1,0,259.9972,238.0825,1.6107,-21.9147,10,
