Subject,Session,Block,Condition,Trial,whetherCued,leftStim,rightStim,midStim,remCueLoc,fogCueLoc,neutralCueLoc,probeCueLoc,probeRem,probeForget,probeNeutral,Target,Estimate,RT,Error,Points
123,1,1,1,1,1,108.2123,347.8121,289.5557,2,1,3,2,1,0,0,347.8121,350.2859,2.0274,2.4738,40,
123,1,1,2,2,1,137.6828,289.452,195.2731,3,1,2,1,0,1,0,137.6828,NaN,100000,999,0,
123,1,1,2,3,1,318.591,19.1285,135.5556,1,3,2,1,1,0,0,318.591,328.4244,3.1873,9.8334,30,
123,1,1,1,4,1,108.7261,317.0612,289.2856,1,2,3,1,1,0,0,108.7261,112.341,1.7569,3.6149,30,
123,1,1,2,5,1,345.9984,199.0358,317.3509,1,2,3,1,1,0,0,345.9984,135.129,2.0068,149.1306,-10,
123,1,1,2,6,1,137.6808,287.0788,47.7798,2,1,3,2,1,0,0,287.0788,321.5571,1.6804,34.4784,0,
123,1,1,2,7,1,109.2421,167.227,288.5809,1,3,2,2,0,0,1,167.227,149.8619,2.5832,-17.3651,20,
123,1,1,1,8,1,46.2523,166.1685,106.3477,3,1,2,3,1,0,0,106.3477,151.5608,1.9234,45.2131,-2.5,
123,1,1,2,9,1,139.7049,226.8956,19.4499,1,2,3,1,1,0,0,139.7049,138.4571,1.3748,-1.2478,40,
123,1,1,2,10,1,46.8446,78.4713,16.9483,2,1,3,2,1,0,0,78.4713,141.7978,1.4374,63.3265,-10,
123,1,1,1,11,1,165.767,48.3208,315.8943,1,2,3,1,1,0,0,165.767,161.9013,0.94434,-3.8657,30,
123,1,1,1,12,1,45.7677,137.5296,77.4189,1,3,2,1,1,0,0,45.7677,55.1839,1.1319,9.4162,30,
123,1,1,2,13,1,109.7561,15.827,77.6374,3,2,1,3,1,0,0,77.6374,52.3304,2.354,-25.3071,10,
123,1,1,2,14,1,255.9143,105.5791,317.0118,2,3,1,3,0,1,0,317.0118,NaN,100000,999,0,
123,1,1,1,15,1,195.4249,136.3075,346.3253,2,1,3,2,1,0,0,136.3075,137.4338,1.3888,1.1263,40,
123,1,1,2,16,1,288.1356,108.6007,45.1232,3,1,2,2,0,0,1,108.6007,114.6206,1.5555,6.0199,30,
123,1,1,2,17,1,317.5243,75.9034,225.1057,3,2,1,3,1,0,0,225.1057,228.1887,2.0693,3.083,30,
123,1,1,2,18,1,46.399,315.2456,227.7211,3,1,2,3,1,0,0,227.7211,238.4687,2.1665,10.7476,30,
123,1,1,2,19,1,75.6269,106.2055,227.4119,1,3,2,1,1,0,0,75.6269,62.6718,2.2012,-12.9551,20,
123,1,1,2,20,1,198.735,288.9527,49.6563,2,1,3,2,1,0,0,288.9527,314.7631,1.6249,25.8103,10,
123,1,1,1,21,1,109.4916,285.0553,317.4692,2,1,3,2,1,0,0,285.0553,304.8416,1.1804,19.7863,20,
123,1,1,2,22,1,288.1536,138.5422,169.447,3,1,2,3,1,0,0,169.447,21.744,3.0553,-147.703,-10,
123,1,1,1,23,1,166.1011,287.2335,197.4347,1,2,3,1,1,0,0,166.1011,167.4405,1.7917,1.3394,40,
123,1,1,2,24,1,348.7809,107.2037,196.7507,3,2,1,3,1,0,0,196.7507,203.897,1.5347,7.1463,30,
123,1,1,2,25,1,196.3906,139.2176,165.2542,1,2,3,3,0,0,1,165.2542,160.8099,2.4234,-4.4444,30,
123,1,1,2,26,1,257.5792,198.603,168.5943,1,2,3,1,1,0,0,257.5792,219.0367,1.4026,-38.5425,0,
123,1,1,2,27,1,17.7759,286.9452,138.5267,2,1,3,2,1,0,0,286.9452,328.4724,1.729,41.5272,-2.5,
123,1,1,2,28,1,109.3803,166.8936,48.5342,2,3,1,2,1,0,0,166.8936,149.8759,3.0762,-17.0177,20,
123,1,1,2,29,1,256.8951,77.9393,17.1256,3,2,1,3,1,0,0,17.1256,30.2666,3.5969,13.141,20,
123,1,1,2,30,1,17.5023,45.2278,79.2101,1,2,3,1,1,0,0,17.5023,33.3815,2.243,15.8793,20,
123,1,1,1,31,1,257.8898,165.81,48.5958,2,1,3,1,0,1,0,257.8898,246.6406,8.0206,-11.2492,30,
123,1,1,1,32,1,19.2352,259.9362,289.3686,1,3,2,3,0,1,0,289.3686,239.1162,4.7774,-50.2524,-5,
