Subject,Session,Block,Trial,Stim,stimLoc,Target,Estimate,RT,Error,Points
108,1,3,84,16.7359,3,16.7359,19.8549,1.8913,3.119,30,
108,1,3,85,257.9854,1,257.9854,242.1222,0.85064,-15.8632,20,
108,1,3,86,198.7463,1,198.7463,212.7062,1.2709,13.9599,20,
108,1,3,87,108.3886,3,108.3886,98.8898,1.421,-9.4989,30,
108,1,3,88,105.667,1,105.667,120.5661,1.511,14.8992,20,
108,1,3,89,168.5429,2,168.5429,160.626,1.8412,-7.917,30,
108,1,3,90,288.6787,1,288.6787,318.0607,1.9814,29.382,10,
108,1,4,91,137.7,3,137.7,115.8783,1.7012,-21.8216,10,
108,1,4,92,317.4499,3,317.4499,303.8307,1.7813,-13.6192,20,
108,1,4,93,106.8876,1,106.8876,110.7588,1.6611,3.8713,30,
108,1,4,94,169.598,3,169.598,187.8715,1.4411,18.2735,20,
108,1,4,95,349.0469,2,349.0469,349.0088,1.6812,-0.038115,40,
108,1,4,96,199.0531,3,199.0531,203.2235,1.2108,4.1704,30,
108,1,4,97,197.5342,2,197.5342,205.142,0.87057,7.6078,30,
108,1,4,98,347.5228,1,347.5228,350.4448,1.581,2.9221,40,
108,1,4,99,169.905,3,169.905,153.664,1.411,-16.2409,20,
108,1,4,100,48.3558,3,48.3558,41.4388,1.0107,-6.917,30,
108,1,4,101,75.3655,2,75.3655,51.4376,1.1808,-23.9279,10,
108,1,4,102,258.0127,2,258.0127,258.8029,0.7707,0.79023,40,
108,1,4,103,139.457,1,139.457,150.4938,1.0007,11.0368,30,
108,1,4,104,225.2008,3,225.2008,231.5797,1.6911,6.3789,30,
108,1,4,105,349.3786,3,349.3786,350.6664,1.421,1.2877,40,
108,1,4,106,108.5066,2,108.5066,114.275,0.96072,5.7683,30,
108,1,4,107,289.5231,1,289.5231,292.5995,1.9714,3.0764,30,
108,1,4,108,195.6068,1,195.6068,213.6638,1.1508,18.0571,20,
108,1,4,109,256.7315,1,256.7315,234.2496,0.79059,-22.4819,10,
108,1,4,110,49.3067,3,49.3067,44.8529,1.7512,-4.4537,30,
108,1,4,111,288.7589,2,288.7589,310.9858,1.1208,22.2269,10,
108,1,4,112,105.8264,3,105.8264,87.8404,1.6211,-17.986,20,
108,1,4,113,138.2028,2,138.2028,140.2875,1.0007,2.0847,40,
108,1,4,114,166.1109,3,166.1109,158.1337,1.2309,-7.9772,30,
108,1,4,115,46.4575,3,46.4575,18.1559,1.2509,-28.3016,10,
108,1,4,116,49.4181,2,49.4181,46.4207,1.611,-2.9974,40,
108,1,4,117,78.515,2,78.515,61.8207,0.93068,-16.6943,20,
108,1,4,118,288.0077,3,288.0077,286.9449,0.94066,-1.0628,40,
108,1,4,119,105.8051,2,105.8051,106.0801,0.71053,0.27495,40,
108,1,4,120,139.5153,1,139.5153,157.6291,1.0607,18.1138,20,
108,1,5,121,138.8417,1,138.8417,142.5562,1.201,3.7146,30,
108,1,5,122,288.7565,1,288.7565,299.0009,1.3611,10.2444,30,
108,1,5,123,17.8665,2,17.8665,11.4102,0.81061,-6.4563,30,
108,1,5,124,78.1699,2,78.1699,51.563,1.2208,-26.6069,10,
108,1,5,125,199.3117,3,199.3117,229.0718,0.99066,29.7601,10,
108,1,5,126,259.9852,3,259.9852,258.025,0.68046,-1.9602,40,
108,1,5,127,15.8474,1,15.8474,13.8419,1.3509,-2.0056,40,
108,1,5,128,289.0431,2,289.0431,303.5955,1.0107,14.5524,20,
108,1,5,129,287.4616,2,287.4616,313.4595,0.58047,25.9979,10,
108,1,5,130,49.7245,3,49.7245,45.1121,0.85069,-4.6124,30,
108,1,5,131,285.552,3,285.552,307.3791,0.88061,21.827,10,
108,1,5,132,169.858,3,169.858,185.1033,0.85062,15.2453,20,
108,1,5,133,137.7013,1,137.7013,146.4387,0.91071,8.7374,30,
108,1,5,134,46.3408,3,46.3408,50.3205,0.94076,3.9797,30,
108,1,5,135,75.1584,2,75.1584,62.9718,0.99073,-12.1867,20,
108,1,5,136,228.6611,1,228.6611,222.9143,1.0707,-5.7468,30,
108,1,5,137,46.4529,2,46.4529,36.4829,0.69084,-9.97,30,
108,1,5,138,135.4454,1,135.4454,156.9414,1.1408,21.496,10,
108,1,5,139,168.6869,2,168.6869,155.7599,0.98068,-12.9271,20,
108,1,5,140,165.9661,1,165.9661,166.6171,1.3409,0.65105,40,
108,1,5,141,109.9493,1,109.9493,130.0833,0.86058,20.134,20,
108,1,5,142,286.8651,1,286.8651,286.8775,1.0507,0.012409,40,
108,1,5,143,165.4859,3,165.4859,163.9519,1.491,-1.5341,40,
108,1,5,144,318.9805,2,318.9805,327.6665,1.2708,8.6859,30,
108,1,5,145,349.4889,1,349.4889,327.0268,1.3709,-22.4621,10,
108,1,5,146,76.7007,1,76.7007,65.0065,1.301,-11.6942,30,
108,1,5,147,227.2651,3,227.2651,245.6463,0.79057,18.3812,20,
108,1,5,148,19.9398,2,19.9398,32.7877,0.86065,12.8479,20,
108,1,5,149,15.0012,1,15.0012,25.0474,1.1911,10.0463,30,
108,1,5,150,15.1196,1,15.1196,10.8849,1.251,-4.2347,30,
