Subject,Session,Block,Trial,Stim,stimLoc,Target,Estimate,RT,Error,Points
119,1,1,1,348.4074,1,348.4074,343.4024,1.8109,-5.005,30,
119,1,1,2,169.2918,2,169.2918,159.9501,1.3707,-9.3417,30,
119,1,1,3,257.3371,2,257.3371,257.5001,1.5614,0.16305,40,
119,1,1,4,347.6658,3,347.6658,342.6552,1.111,-5.0106,30,
119,1,1,5,138.9798,1,138.9798,132.1938,0.96065,-6.786,30,
119,1,1,6,75.9864,3,75.9864,66.127,1.7714,-9.8594,30,
119,1,1,7,196.4136,3,196.4136,203.7875,1.4315,7.3738,30,
119,1,1,8,47.5237,1,47.5237,57.9775,1.8913,10.4538,30,
119,1,1,9,319.0072,1,319.0072,307.1439,1.6211,-11.8633,30,
119,1,1,10,45.0806,2,45.0806,45.9706,2.402,0.88997,40,
119,1,1,11,229.1411,2,229.1411,213.988,1.7412,-15.1531,20,
119,1,1,12,106.6302,2,106.6302,60.1099,3.2922,-46.5203,-5,
119,1,1,13,318.5002,1,318.5002,322.9883,1.9213,4.4881,30,
119,1,1,14,16.27,2,16.27,22.6697,1.1909,6.3997,30,
119,1,1,15,105.3522,2,105.3522,115.2358,1.5611,9.8836,30,
119,1,1,16,255.2841,1,255.2841,181.4981,1.8111,-73.786,-20,
119,1,1,17,258.885,1,258.885,260.7459,2.2215,1.8609,40,
119,1,1,18,199.494,2,199.494,205.695,1.6811,6.201,30,
119,1,1,19,76.6904,3,76.6904,73.0363,1.2615,-3.6541,30,
119,1,1,20,346.3991,3,346.3991,353.2845,1.0211,6.8854,30,
119,1,1,21,345.4278,3,345.4278,329.2975,1.0607,-16.1302,20,
119,1,1,22,17.4112,3,17.4112,347.8596,2.1315,-29.5516,10,
119,1,1,23,319.7899,1,319.7899,315.4768,1.3609,-4.3131,30,
119,1,1,24,138.3384,3,138.3384,133.1438,0.94074,-5.1946,30,
119,1,1,25,285.2493,3,285.2493,287.4087,0.89059,2.1594,40,
119,1,1,26,228.7424,1,228.7424,220.5732,1.401,-8.1692,30,
119,1,1,27,255.601,1,255.601,242.1842,1.3009,-13.4168,20,
119,1,1,28,106.3942,3,106.3942,104.6253,1.1608,-1.7689,40,
119,1,1,29,108.3316,2,108.3316,252.2533,1.3009,143.9216,-20,
119,1,1,30,78.0386,2,78.0386,115.26,1.0607,37.2214,0,
119,1,2,31,347.3616,2,347.3616,345.0995,1.0107,-2.2621,40,
119,1,2,32,19.8439,2,19.8439,358.4789,1.0107,-21.365,10,
119,1,2,33,199.4482,2,199.4482,186.0464,1.431,-13.4018,20,
119,1,2,34,17.7221,2,17.7221,24.0366,0.90067,6.3146,30,
119,1,2,35,165.6614,2,165.6614,158.3725,1.401,-7.2889,30,
119,1,2,36,135.3468,2,135.3468,149.3719,0.93063,14.0251,20,
119,1,2,37,139.4985,1,139.4985,141.4524,0.75058,1.9538,40,
119,1,2,38,77.0491,2,77.0491,120.2799,1.491,43.2308,-5,
119,1,2,39,257.2826,1,257.2826,251.7105,1.0008,-5.5721,30,
119,1,2,40,288.3558,1,288.3558,293.2287,0.94064,4.8728,30,
119,1,2,41,259.8507,2,259.8507,267.8801,1.2209,8.0294,30,
119,1,2,42,288.8765,2,288.8765,289.3883,1.0607,0.51176,40,
119,1,2,43,199.9377,3,199.9377,212.0833,1.0708,12.1456,20,
119,1,2,44,169.7542,1,169.7542,157.0931,0.96064,-12.6611,20,
119,1,2,45,197.7598,2,197.7598,206.4364,1.3809,8.6765,30,
119,1,2,46,105.005,2,105.005,117.8841,0.78057,12.8791,20,
119,1,2,47,139.1714,3,139.1714,134.4472,1.2512,-4.7242,30,
119,1,2,48,76.4172,1,76.4172,74.6278,1.0007,-1.7894,40,
119,1,2,49,106.7519,3,106.7519,106.7439,1.2109,-0.0080371,40,
119,1,2,50,77.8463,2,77.8463,78.3555,0.66048,0.50915,40,
119,1,2,51,198.7,1,198.7,195.7738,0.9106,-2.9263,40,
119,1,2,52,136.8907,1,136.8907,138.8532,0.70055,1.9625,40,
119,1,2,53,107.3056,3,107.3056,113.0538,1.461,5.7481,30,
119,1,2,54,349.0059,3,349.0059,10.4874,0.81079,21.4815,10,
119,1,2,55,229.9878,2,229.9878,62.2065,1.5014,-167.7812,-20,
119,1,2,56,168.5909,3,168.5909,168.6968,0.8806,0.10589,40,
119,1,2,57,257.3291,2,257.3291,256.4979,1.0811,-0.83118,40,
119,1,2,58,76.4142,2,76.4142,76.0485,0.67046,-0.36574,40,
119,1,2,59,78.402,3,78.402,72.6133,0.8306,-5.7886,30,
119,1,2,60,168.7949,3,168.7949,157.6158,1.2208,-11.179,30,
119,1,3,61,257.2641,2,257.2641,265.7855,0.76059,8.5214,30,
119,1,3,62,317.1847,2,317.1847,333.9233,1.0507,16.7386,20,
119,1,3,63,349.3083,3,349.3083,351.7635,4.8432,2.4552,40,
119,1,3,64,17.2137,3,17.2137,8.4685,1.0607,-8.7452,30,
119,1,3,65,228.6452,1,228.6452,230.0754,0.93064,1.4302,40,
119,1,3,66,255.1951,1,255.1951,244.9982,0.8306,-10.1969,30,
119,1,3,67,106.504,1,106.504,107.6179,0.63045,1.1138,40,
119,1,3,68,139.0496,3,139.0496,141.807,1.361,2.7574,40,
119,1,3,69,197.8757,1,197.8757,231.7062,1.551,33.8305,0,
119,1,3,70,228.6142,1,228.6142,241.5019,1.1008,12.8876,20,
119,1,3,71,347.3686,1,347.3686,345.3898,0.68113,-1.9788,40,
119,1,3,72,47.5505,2,47.5505,46.3772,1.4509,-1.1733,40,
119,1,3,73,316.6495,1,316.6495,322.8482,1.0908,6.1987,30,
119,1,3,74,168.3623,3,168.3623,158.1104,0.72047,-10.2519,30,
119,1,3,75,317.5337,3,317.5337,315.9242,0.73067,-1.6095,40,
119,1,3,76,226.596,2,226.596,225.9136,0.91063,-0.68247,40,
119,1,3,77,108.6605,1,108.6605,127.5957,0.80053,18.9351,20,
119,1,3,78,139.9343,3,139.9343,140.5093,1.0307,0.57502,40,
119,1,3,79,225.5352,3,225.5352,222.9425,1.2209,-2.5927,40,
119,1,3,80,316.6124,3,316.6124,314.492,0.74059,-2.1204,40,
119,1,3,81,75.3814,3,75.3814,62.4558,0.95074,-12.9256,20,
119,1,3,82,48.1729,1,48.1729,46.9904,0.98071,-1.1825,40,
119,1,3,83,199.3916,2,199.3916,207.5773,1.0606,8.1856,30,
119,1,3,84,16.7359,3,16.7359,27.3483,1.1208,10.6124,30,
119,1,3,85,257.9854,1,257.9854,253.8955,0.99075,-4.0899,30,
119,1,3,86,198.7463,1,198.7463,208.1122,0.8005,9.3659,30,
119,1,3,87,108.3886,3,108.3886,112.2875,1.2509,3.8989,30,
119,1,3,88,105.667,1,105.667,93.3279,0.80057,-12.339,20,
119,1,3,89,168.5429,2,168.5429,164.2928,0.7306,-4.2502,30,
119,1,3,90,288.6787,1,288.6787,293.4029,1.0707,4.7242,30,
119,1,4,91,137.7,3,137.7,140.4104,0.71087,2.7104,40,
119,1,4,92,317.4499,3,317.4499,308.7061,0.61044,-8.7439,30,
119,1,4,93,106.8876,1,106.8876,125.0247,0.95066,18.1371,20,
119,1,4,94,169.598,3,169.598,128.3924,4.5728,-41.2056,-5,
119,1,4,95,349.0469,2,349.0469,347.658,0.72051,-1.3889,40,
119,1,4,96,199.0531,3,199.0531,200.9325,0.61078,1.8794,40,
119,1,4,97,197.5342,2,197.5342,194.2464,0.90065,-3.2877,30,
119,1,4,98,347.5228,1,347.5228,345.281,1.0108,-2.2417,40,
119,1,4,99,169.905,3,169.905,169.5848,0.96068,-0.3202,40,
119,1,4,100,48.3558,3,48.3558,46.563,0.88064,-1.7928,40,
119,1,4,101,75.3655,2,75.3655,74.0216,0.81059,-1.3438,40,
119,1,4,102,258.0127,2,258.0127,271.47,1.0307,13.4573,20,
119,1,4,103,139.457,1,139.457,137.7799,0.67042,-1.6771,40,
119,1,4,104,225.2008,3,225.2008,231.1322,0.7506,5.9314,30,
119,1,4,105,349.3786,3,349.3786,1.0398,0.79088,11.6612,30,
119,1,4,106,108.5066,2,108.5066,111.4879,0.91046,2.9813,40,
119,1,4,107,289.5231,1,289.5231,179.0462,0.88069,-110.4769,-20,
119,1,4,108,195.6068,1,195.6068,296.5053,1.2609,100.8986,-20,
119,1,4,109,256.7315,1,256.7315,260.431,1.0007,3.6994,30,
119,1,4,110,49.3067,3,49.3067,53.0657,0.80063,3.759,30,
119,1,4,111,288.7589,2,288.7589,310.4714,1.0307,21.7125,10,
119,1,4,112,105.8264,3,105.8264,102.4408,1.0608,-3.3856,30,
119,1,4,113,138.2028,2,138.2028,156.6244,1.0708,18.4216,20,
119,1,4,114,166.1109,3,166.1109,165.6563,0.85061,-0.45463,40,
119,1,4,115,46.4575,3,46.4575,50.3335,0.86058,3.8761,30,
119,1,4,116,49.4181,2,49.4181,55.4171,0.81059,5.999,30,
119,1,4,117,78.515,2,78.515,57.7307,0.74061,-20.7843,20,
119,1,4,118,288.0077,3,288.0077,296.3619,0.75057,8.3541,30,
119,1,4,119,105.8051,2,105.8051,116.3247,0.80057,10.5196,30,
119,1,4,120,139.5153,1,139.5153,135.0471,0.76059,-4.4683,30,
119,1,5,121,138.8417,1,138.8417,134.2512,0.6406,-4.5905,30,
119,1,5,122,288.7565,1,288.7565,299.6268,0.87063,10.8703,30,
119,1,5,123,17.8665,2,17.8665,60.0705,1.1609,42.204,-5,
119,1,5,124,78.1699,2,78.1699,30.9011,1.4209,-47.2688,-5,
119,1,5,125,199.3117,3,199.3117,299.3341,1.2809,100.0224,-20,
119,1,5,126,259.9852,3,259.9852,202.9058,1.7613,-57.0794,-10,
119,1,5,127,15.8474,1,15.8474,29.1451,1.6011,13.2977,20,
119,1,5,128,289.0431,2,289.0431,297.414,1.3509,8.3709,30,
119,1,5,129,287.4616,2,287.4616,76.9659,2.2915,149.5043,-20,
119,1,5,130,49.7245,3,49.7245,48.2933,0.92064,-1.4312,40,
119,1,5,131,285.552,3,285.552,283.8648,0.89071,-1.6872,40,
119,1,5,132,169.858,3,169.858,165.6062,0.67053,-4.2517,30,
119,1,5,133,137.7013,1,137.7013,143.5495,0.71055,5.8482,30,
119,1,5,134,46.3408,3,46.3408,35.1187,1.361,-11.2221,30,
119,1,5,135,75.1584,2,75.1584,82.6785,0.83059,7.5201,30,
119,1,5,136,228.6611,1,228.6611,220.7233,1.3308,-7.9378,30,
119,1,5,137,46.4529,2,46.4529,54.0316,0.93069,7.5787,30,
119,1,5,138,135.4454,1,135.4454,141.5104,1.2709,6.0649,30,
119,1,5,139,168.6869,2,168.6869,156.2219,0.82058,-12.4651,20,
119,1,5,140,165.9661,1,165.9661,174.7042,1.7212,8.7381,30,
119,1,5,141,109.9493,1,109.9493,168.1831,1.3209,58.2338,-10,
119,1,5,142,286.8651,1,286.8651,300.0286,0.86064,13.1636,20,
119,1,5,143,165.4859,3,165.4859,165.1168,0.93082,-0.36915,40,
119,1,5,144,318.9805,2,318.9805,312.0379,1.9813,-6.9426,30,
119,1,5,145,349.4889,1,349.4889,345.62,1.1208,-3.8689,30,
119,1,5,146,76.7007,1,76.7007,69.8799,1.1212,-6.8208,30,
119,1,5,147,227.2651,3,227.2651,214.5761,0.94069,-12.689,20,
119,1,5,148,19.9398,2,19.9398,17.8434,1.401,-2.0964,40,
119,1,5,149,15.0012,1,15.0012,21.6722,1.501,6.671,30,
119,1,5,150,15.1196,1,15.1196,14.6249,1.1308,-0.49468,40,
