Subject,Session,Block,Trial,Stim,stimLoc,Target,Estimate,RT,Error,Points
114,1,1,1,348.4074,1,348.4074,355.0235,1.6507,6.6161,30,
114,1,1,2,169.2918,2,169.2918,151.4938,1.4507,-17.7979,20,
114,1,1,3,257.3371,2,257.3371,250.0977,1.2509,-7.2394,30,
114,1,1,4,347.6658,3,347.6658,356.981,1.3813,9.3152,30,
114,1,1,5,138.9798,1,138.9798,128.0883,2.2818,-10.8915,30,
114,1,1,6,75.9864,3,75.9864,63.6944,2.1914,-12.292,20,
114,1,1,7,196.4136,3,196.4136,219.8141,2.0714,23.4005,10,
114,1,1,8,47.5237,1,47.5237,206.5352,4.2127,159.0116,-20,
114,1,1,9,319.0072,1,319.0072,315.3046,1.5611,-3.7026,30,
114,1,1,10,45.0806,2,45.0806,53.721,1.1708,8.6404,30,
114,1,1,11,229.1411,2,229.1411,241.2656,1.7612,12.1245,20,
114,1,1,12,106.6302,2,106.6302,110.5535,1.4911,3.9234,30,
114,1,1,13,318.5002,1,318.5002,316.2263,2.3015,-2.2739,40,
114,1,1,14,16.27,2,16.27,16.3354,1.3009,0.065389,40,
114,1,1,15,105.3522,2,105.3522,118.0393,1.411,12.687,20,
114,1,1,16,255.2841,1,255.2841,253.563,1.6012,-1.7211,40,
114,1,1,17,258.885,1,258.885,258.6234,1.441,-0.26153,40,
114,1,1,18,199.494,2,199.494,191.0754,1.7412,-8.4185,30,
114,1,1,19,76.6904,3,76.6904,74.0713,1.1708,-2.6191,40,
114,1,1,20,346.3991,3,346.3991,352.9158,1.6011,6.5167,30,
114,1,1,21,345.4278,3,345.4278,341.5298,1.7912,-3.898,30,
114,1,1,22,17.4112,3,17.4112,28.7099,1.6511,11.2987,30,
114,1,1,23,319.7899,1,319.7899,311.1384,1.501,-8.6515,30,
114,1,1,24,138.3384,3,138.3384,122.7251,1.9012,-15.6133,20,
114,1,1,25,285.2493,3,285.2493,112.2825,4.6731,-172.9668,-20,
114,1,1,26,228.7424,1,228.7424,240.6282,1.2909,11.8858,30,
114,1,1,27,255.601,1,255.601,255.8872,1.1809,0.28618,40,
114,1,1,28,106.3942,3,106.3942,105.3771,1.4509,-1.0171,40,
114,1,1,29,108.3316,2,108.3316,113.3084,1.2509,4.9768,30,
114,1,1,30,78.0386,2,78.0386,79.2303,1.0007,1.1916,40,
114,1,2,31,347.3616,2,347.3616,348.731,1.381,1.3694,40,
114,1,2,32,19.8439,2,19.8439,31.3702,1.221,11.5263,30,
114,1,2,33,199.4482,2,199.4482,196.66,1.5311,-2.7882,40,
114,1,2,34,17.7221,2,17.7221,20.9322,1.1808,3.2101,30,
114,1,2,35,165.6614,2,165.6614,19.3594,1.4313,-146.302,-20,
114,1,2,36,135.3468,2,135.3468,141.9729,1.541,6.626,30,
114,1,2,37,139.4985,1,139.4985,146.7915,1.421,7.2929,30,
114,1,2,38,77.0491,2,77.0491,80.2467,1.1008,3.1976,30,
114,1,2,39,257.2826,1,257.2826,247.6158,1.1308,-9.6668,30,
114,1,2,40,288.3558,1,288.3558,292.3749,1.3812,4.0191,30,
114,1,2,41,259.8507,2,259.8507,276.7792,1.5511,16.9284,20,
114,1,2,42,288.8765,2,288.8765,299.4744,1.2512,10.5979,30,
114,1,2,43,199.9377,3,199.9377,210.9178,1.0208,10.9801,30,
114,1,2,44,169.7542,1,169.7542,164.8906,0.861,-4.8636,30,
114,1,2,45,197.7598,2,197.7598,208.5144,1.0508,10.7546,30,
114,1,2,46,105.005,2,105.005,105.0309,1.0407,0.025922,40,
114,1,2,47,139.1714,3,139.1714,150.4443,1.2608,11.2729,30,
114,1,2,48,76.4172,1,76.4172,77.5261,1.6811,1.1089,40,
114,1,2,49,106.7519,3,106.7519,105.6873,1.2909,-1.0646,40,
114,1,2,50,77.8463,2,77.8463,79.0806,0.89085,1.2342,40,
114,1,2,51,198.7,1,198.7,208.0599,1.2609,9.3599,30,
114,1,2,52,136.8907,1,136.8907,130.8641,0.9707,-6.0266,30,
114,1,2,53,107.3056,3,107.3056,113.1464,1.411,5.8408,30,
114,1,2,54,349.0059,3,349.0059,358.164,1.2008,9.1581,30,
114,1,2,55,229.9878,2,229.9878,232.0246,1.461,2.0368,40,
114,1,2,56,168.5909,3,168.5909,173.722,1.451,5.1311,30,
114,1,2,57,257.3291,2,257.3291,252.4799,1.511,-4.8492,30,
114,1,2,58,76.4142,2,76.4142,72.3769,1.0207,-4.0373,30,
114,1,2,59,78.402,3,78.402,57.9975,1.1409,-20.4044,20,
114,1,2,60,168.7949,3,168.7949,146.1331,1.2609,-22.6617,10,
114,1,3,61,257.2641,2,257.2641,254.9817,1.4309,-2.2824,40,
114,1,3,62,317.1847,2,317.1847,312.652,1.3309,-4.5327,30,
114,1,3,63,349.3083,3,349.3083,8.6387,1.5012,19.3305,20,
114,1,3,64,17.2137,3,17.2137,38.0327,0.77061,20.819,20,
114,1,3,65,228.6452,1,228.6452,233.971,1.251,5.3259,30,
114,1,3,66,255.1951,1,255.1951,252.4263,1.2309,-2.7688,40,
114,1,3,67,106.504,1,106.504,109.6411,1.511,3.1371,30,
114,1,3,68,139.0496,3,139.0496,140.6014,1.451,1.5518,40,
114,1,3,69,197.8757,1,197.8757,200.8205,1.0411,2.9448,40,
114,1,3,70,228.6142,1,228.6142,226.8895,1.0207,-1.7247,40,
