Subject,Session,Block,Trial,Stim,stimLoc,Target,Estimate,RT,Error,Points
103,1,1,1,229.1967,2,229.1967,228.7802,2.3319,-0.41655,40,
103,1,1,2,257.7512,2,257.7512,293.1527,2.9718,35.4015,0,
103,1,1,3,108.6438,2,108.6438,111.9906,4.7131,3.3468,30,
103,1,1,4,256.0788,1,256.0788,240.7681,2.1715,-15.3107,20,
103,1,1,5,17.2139,2,17.2139,17.9274,1.3509,0.71348,40,
103,1,1,6,199.0291,2,199.0291,201.2645,2.4018,2.2354,40,
103,1,1,7,319.6843,3,319.6843,305.3988,2.2515,-14.2856,20,
103,1,1,8,105.065,2,105.065,128.3975,1.7712,23.3325,10,
103,1,1,9,77.0944,3,77.0944,51.6284,1.4911,-25.4659,10,
103,1,1,10,167.4934,1,167.4934,159.3584,1.481,-8.135,30,
103,1,1,11,46.9491,3,46.9491,36.5,1.6717,-10.4491,30,
103,1,1,12,287.2531,3,287.2531,306.5431,1.541,19.2901,20,
103,1,1,13,106.6544,1,106.6544,124.0457,1.8812,17.3913,20,
103,1,1,14,347.0551,2,347.0551,2.8678,2.0814,15.8126,20,
103,1,1,15,255.1848,1,255.1848,233.4821,1.1708,-21.7027,10,
103,1,1,16,348.2502,1,348.2502,343.72,2.4517,-4.5302,30,
103,1,1,17,137.0274,2,137.0274,126.4099,1.3009,-10.6174,30,
103,1,1,18,165.2618,2,165.2618,174.1621,2.4116,8.9003,30,
103,1,1,19,258.7676,2,258.7676,258.788,1.361,0.02037,40,
103,1,1,20,226.2377,2,226.2377,18.4559,2.0213,152.2181,-20,
103,1,1,21,287.8929,1,287.8929,289.6133,1.5011,1.7205,40,
103,1,1,22,79.3629,1,79.3629,78.813,1.7912,-0.54987,40,
103,1,1,23,136.391,3,136.391,132.0745,1.8812,-4.3165,30,
103,1,1,24,315.1863,3,315.1863,307.8473,2.5417,-7.339,30,
103,1,1,25,166.0708,1,166.0708,158.5596,1.0907,-7.5112,30,
103,1,1,26,18.1258,2,18.1258,16.1977,1.3709,-1.9281,40,
103,1,1,27,46.4591,3,46.4591,39.3288,1.4008,-7.1303,30,
103,1,1,28,195.7491,1,195.7491,227.4046,1.2209,31.6555,0,
103,1,1,29,227.1432,3,227.1432,224.7911,1.6411,-2.3521,40,
103,1,1,30,15.2591,3,15.2591,12.2893,1.3111,-2.9699,40,
103,1,2,31,199.5871,2,199.5871,190.9599,1.7311,-8.6272,30,
103,1,2,32,138.169,3,138.169,129.594,1.501,-8.575,30,
103,1,2,33,17.7893,1,17.7893,29.7399,2.2615,11.9506,30,
103,1,2,34,226.5057,2,226.5057,224.6567,1.451,-1.849,40,
103,1,2,35,318.4297,2,318.4297,34.9583,0.79051,76.5286,-20,
103,1,2,36,259.6262,3,259.6262,251.97,1.1508,-7.6561,30,
103,1,2,37,47.7264,2,47.7264,28.3536,1.2616,-19.3728,20,
103,1,2,38,78.3231,2,78.3231,75.2908,1.2409,-3.0323,30,
103,1,2,39,167.4522,1,167.4522,165.0805,1.551,-2.3717,40,
103,1,2,40,16.2011,1,16.2011,155.2677,2.932,139.0666,-20,
103,1,2,41,228.257,2,228.257,228.5269,1.5411,0.26988,40,
103,1,2,42,166.7307,2,166.7307,132.7634,1.9013,-33.9673,0,
103,1,2,43,318.5078,1,318.5078,306.641,1.5611,-11.8667,30,
103,1,2,44,285.2025,2,285.2025,303.5434,1.6411,18.341,20,
103,1,2,45,197.4452,1,197.4452,214.7545,1.1108,17.3093,20,
103,1,2,46,346.4907,3,346.4907,352.4149,1.2509,5.9242,30,
103,1,2,47,166.4098,1,166.4098,149.9221,0.93065,-16.4877,20,
103,1,2,48,195.7683,1,195.7683,206.2588,1.1208,10.4905,30,
103,1,2,49,287.9604,2,287.9604,312.4794,1.1911,24.519,10,
103,1,2,50,258.4983,1,258.4983,237.0122,1.0207,-21.486,10,
103,1,2,51,78.0453,1,78.0453,81.3127,1.381,3.2674,30,
103,1,2,52,139.4921,3,139.4921,144.4803,1.2708,4.9882,30,
103,1,2,53,46.9404,2,46.9404,27.7778,1.411,-19.1626,20,
103,1,2,54,46.3634,3,46.3634,27.9164,1.1708,-18.447,20,
103,1,2,55,315.1454,1,315.1454,316.3759,1.2508,1.2304,40,
103,1,2,56,258.1906,1,258.1906,269.1699,1.6513,10.9792,30,
103,1,2,57,106.5969,1,106.5969,110.7538,1.6511,4.157,30,
103,1,2,58,258.7912,1,258.7912,241.8947,1.381,-16.8965,20,
103,1,2,59,168.3263,3,168.3263,164.0489,1.7512,-4.2774,30,
103,1,2,60,109.5099,3,109.5099,96.7572,2.2015,-12.7527,20,
103,1,3,61,315.1092,2,315.1092,323.9426,1.271,8.8335,30,
103,1,3,62,169.1099,2,169.1099,173.927,2.1412,4.8171,30,
103,1,3,63,139.9417,2,139.9417,157.4271,1.6111,17.4854,20,
103,1,3,64,258.4234,1,258.4234,241.4899,1.3309,-16.9336,20,
103,1,3,65,286.5248,1,286.5248,292.9689,1.6411,6.4441,30,
103,1,3,66,77.2903,3,77.2903,64.2314,1.451,-13.059,20,
103,1,3,67,197.6278,2,197.6278,194.2309,2.0414,-3.3969,30,
103,1,3,68,45.9023,3,45.9023,23.8161,1.0307,-22.0862,10,
103,1,3,69,108.5802,3,108.5802,100.871,1.521,-7.7092,30,
103,1,3,70,168.5983,1,168.5983,141.7498,1.3809,-26.8485,10,
103,1,3,71,75.2747,2,75.2747,53.6039,2.2215,-21.6708,10,
103,1,3,72,136.885,1,136.885,150.1654,1.461,13.2804,20,
103,1,3,73,315.794,2,315.794,324.6529,1.6211,8.8588,30,
103,1,3,74,198.5715,2,198.5715,196.0888,1.7113,-2.4828,40,
103,1,3,75,288.6678,3,288.6678,278.473,1.2309,-10.1949,30,
103,1,3,76,47.708,2,47.708,34.8581,2.2215,-12.85,20,
103,1,3,77,196.0392,3,196.0392,233.7281,1.2509,37.6889,0,
103,1,3,78,166.3945,2,166.3945,186.0183,1.521,19.6238,20,
103,1,3,79,229.0542,2,229.0542,219.0951,1.3309,-9.959,30,
103,1,3,80,288.7464,2,288.7464,277.382,1.3011,-11.3644,30,
103,1,3,81,79.1238,1,79.1238,79.1927,1.2809,0.068832,40,
103,1,3,82,45.8638,3,45.8638,44.1537,1.7012,-1.7101,40,
103,1,3,83,285.1449,1,285.1449,283.9919,2.1113,-1.153,40,
103,1,3,84,16.2756,2,16.2756,8.8422,1.6311,-7.4334,30,
103,1,3,85,169.4306,3,169.4306,167.2261,1.6712,-2.2045,40,
103,1,3,86,346.1451,1,346.1451,338.2177,1.6111,-7.9274,30,
103,1,3,87,197.8284,3,197.8284,177.8768,1.3109,-19.9516,20,
103,1,3,88,18.5364,1,18.5364,29.0522,1.511,10.5158,30,
103,1,3,89,49.5271,1,49.5271,34.5857,1.491,-14.9414,20,
103,1,3,90,46.579,1,46.579,40.0378,1.381,-6.5413,30,
103,1,4,91,225.3371,3,225.3371,222.8364,2.0014,-2.5006,40,
103,1,4,92,199.58,2,199.58,199.3503,1.8312,-0.22972,40,
103,1,4,93,45.345,2,45.345,26.0825,1.3409,-19.2626,20,
103,1,4,94,317.6891,1,317.6891,313.6803,1.6013,-4.0088,30,
103,1,4,95,228.4106,3,228.4106,219.3182,1.2309,-9.0924,30,
103,1,4,96,347.2231,1,347.2231,329.3726,1.6011,-17.8505,20,
103,1,4,97,166.4907,3,166.4907,179.8932,1.7512,13.4026,20,
103,1,4,98,285.186,3,285.186,263.4419,1.0407,-21.7441,10,
103,1,4,99,16.9827,1,16.9827,19.4991,1.4209,2.5164,40,
103,1,4,100,139.4131,3,139.4131,135.614,1.5712,-3.7991,30,
103,1,4,101,229.5676,2,229.5676,202.168,1.1708,-27.3996,10,
103,1,4,102,137.836,3,137.836,133.0684,1.251,-4.7676,30,
103,1,4,103,286.8692,3,286.8692,256.0073,1.501,-30.8619,0,
103,1,4,104,286.4066,3,286.4066,289.2334,1.4009,2.8269,40,
103,1,4,105,259.401,3,259.401,253.0744,1.2408,-6.3266,30,
103,1,4,106,105.807,1,105.807,104.3337,1.6211,-1.4732,40,
103,1,4,107,167.9642,2,167.9642,148.5908,1.3109,-19.3735,20,
103,1,4,108,15.1528,3,15.1528,38.7611,1.5012,23.6084,10,
103,1,4,109,106.9981,3,106.9981,95.1218,1.2308,-11.8763,30,
103,1,4,110,316.4435,2,316.4435,313.213,1.5212,-3.2304,30,
103,1,4,111,76.6564,2,76.6564,81.8374,1.1007,5.181,30,
103,1,4,112,256.4603,3,256.4603,260.3758,1.2309,3.9156,30,
103,1,4,113,225.4822,1,225.4822,228.0636,2.5117,2.5813,40,
103,1,4,114,348.5075,1,348.5075,324.2706,2.6818,-24.2369,10,
103,1,4,115,315.7111,1,315.7111,322.1948,1.8912,6.4837,30,
103,1,4,116,226.1753,3,226.1753,213.5421,1.6412,-12.6331,20,
103,1,4,117,255.3424,2,255.3424,254.8302,1.441,-0.51226,40,
103,1,4,118,77.7852,3,77.7852,71.6395,1.461,-6.1457,30,
103,1,4,119,168.8991,3,168.8991,164.7219,1.541,-4.1772,30,
103,1,4,120,347.6395,2,347.6395,344.9162,1.8116,-2.7233,40,
103,1,5,121,138.622,1,138.622,116.026,1.2509,-22.596,10,
103,1,5,122,227.5784,3,227.5784,216.023,1.3409,-11.5554,30,
103,1,5,123,288.0858,2,288.0858,300.2859,1.2008,12.2002,20,
103,1,5,124,106.1613,3,106.1613,98.5025,1.5411,-7.6588,30,
103,1,5,125,349.973,1,349.973,340.5914,1.6711,-9.3817,30,
103,1,5,126,138.9043,2,138.9043,140.6267,1.6512,1.7223,40,
103,1,5,127,195.1988,3,195.1988,171.9667,1.5511,-23.2321,10,
103,1,5,128,285.2901,3,285.2901,286.8637,1.1507,1.5735,40,
103,1,5,129,135.3742,3,135.3742,158.8509,1.1008,23.4766,10,
103,1,5,130,17.2564,2,17.2564,13.7283,1.2008,-3.5281,30,
103,1,5,131,77.1176,1,77.1176,79.2935,1.3109,2.1759,40,
103,1,5,132,285.4939,3,285.4939,282.2766,1.8614,-3.2173,30,
103,1,5,133,46.3141,3,46.3141,43.7152,1.581,-2.5989,40,
103,1,5,134,349.0647,1,349.0647,308.5294,1.6811,-40.5353,-5,
103,1,5,135,196.078,2,196.078,190.7001,1.351,-5.3779,30,
103,1,5,136,76.6349,1,76.6349,79.5262,1.0307,2.8913,40,
103,1,5,137,286.4291,1,286.4291,271.8625,1.7613,-14.5666,20,
103,1,5,138,225.0396,1,225.0396,223.4212,1.0007,-1.6183,40,
103,1,5,139,106.7246,1,106.7246,110.7429,1.9213,4.0183,30,
103,1,5,140,75.5847,3,75.5847,45.573,1.5411,-30.0117,0,
103,1,5,141,49.4657,2,49.4657,28.7993,1.9413,-20.6664,20,
103,1,5,142,168.3636,1,168.3636,134.4002,0.98072,-33.9634,0,
103,1,5,143,49.0217,1,49.0217,46.4964,1.561,-2.5252,40,
103,1,5,144,228.367,1,228.367,228.9279,1.0607,0.56093,40,
103,1,5,145,227.6908,2,227.6908,235.3946,3.4923,7.7038,30,
103,1,5,146,317.2675,3,317.2675,329.6263,1.6711,12.3588,20,
103,1,5,147,285.4053,3,285.4053,276.204,1.8117,-9.2013,30,
103,1,5,148,167.0133,2,167.0133,156.8663,1.8312,-10.147,30,
103,1,5,149,79.4401,3,79.4401,80.7458,2.3216,1.3057,40,
103,1,5,150,258.3578,2,258.3578,243.0046,2.0013,-15.3532,20,
