Subject,Session,Block,Trial,Stim,stimLoc,Target,Estimate,RT,Error,Points
107,1,1,1,348.4074,1,348.4074,348.1203,1.0505,-0.28712,40,
107,1,1,2,169.2918,2,169.2918,160.7303,1.0505,-8.5614,30,
107,1,1,3,257.3371,2,257.3371,246.113,1.2009,-11.224,30,
107,1,1,4,347.6658,3,347.6658,340.4703,1.2209,-7.1955,30,
107,1,1,5,138.9798,1,138.9798,143.1979,0.88062,4.2181,30,
107,1,1,6,75.9864,3,75.9864,62.664,1.5611,-13.3224,20,
107,1,1,7,196.4136,3,196.4136,220.7896,1.5311,24.3759,10,
107,1,1,8,47.5237,1,47.5237,39.2713,1.4811,-8.2524,30,
107,1,1,9,319.0072,1,319.0072,325.8049,0.93067,6.7977,30,
107,1,1,10,45.0806,2,45.0806,39.0895,0.971,-5.9911,30,
107,1,1,11,229.1411,2,229.1411,241.2716,1.6912,12.1306,20,
107,1,1,12,106.6302,2,106.6302,125.6234,0.93066,18.9933,20,
107,1,1,13,318.5002,1,318.5002,329.5386,1.1408,11.0384,30,
107,1,1,14,16.27,2,16.27,34.1078,1.8613,17.8378,20,
107,1,1,15,105.3522,2,105.3522,116.4457,1.0107,11.0934,30,
107,1,1,16,255.2841,1,255.2841,243.6868,1.0507,-11.5973,30,
107,1,1,17,258.885,1,258.885,261.0924,0.96071,2.2075,40,
107,1,1,18,199.494,2,199.494,148.689,1.2909,-50.805,-10,
107,1,1,19,76.6904,3,76.6904,68.9468,0.89067,-7.7436,30,
107,1,1,20,346.3991,3,346.3991,340.4328,1.0409,-5.9663,30,
107,1,1,21,345.4278,3,345.4278,339.5964,0.86058,-5.8314,30,
107,1,1,22,17.4112,3,17.4112,14.21,0.86104,-3.2012,30,
107,1,1,23,319.7899,1,319.7899,324.9357,1.591,5.1459,30,
107,1,1,24,138.3384,3,138.3384,141.9019,1.8612,3.5635,30,
107,1,1,25,285.2493,3,285.2493,295.0436,0.81059,9.7943,30,
107,1,1,26,228.7424,1,228.7424,201.5861,1.491,-27.1563,10,
107,1,1,27,255.601,1,255.601,255.2247,0.87059,-0.3763,40,
107,1,1,28,106.3942,3,106.3942,97.9379,0.8506,-8.4563,30,
107,1,1,29,108.3316,2,108.3316,121.4797,1.1012,13.148,20,
107,1,1,30,78.0386,2,78.0386,76.7633,0.85063,-1.2753,40,
107,1,2,31,347.3616,2,347.3616,343.8026,1.0107,-3.559,30,
107,1,2,32,19.8439,2,19.8439,29.7064,0.98057,9.8625,30,
107,1,2,33,199.4482,2,199.4482,187.7981,1.6512,-11.6501,30,
107,1,2,34,17.7221,2,17.7221,18.5088,1.7612,0.78675,40,
