Subject,Session,Block,Trial,Stim,stimLoc,Target,Estimate,RT,Error,Points
123,1,1,1,348.4074,1,348.4074,336.0005,2.7015,-12.4069,20,
123,1,1,2,169.2918,2,169.2918,153.0742,2.5216,-16.2176,20,
123,1,1,3,257.3371,2,257.3371,247.1881,2.6521,-10.149,30,
123,1,1,4,347.6658,3,347.6658,347.4179,2.0816,-0.24796,40,
123,1,1,5,138.9798,1,138.9798,146.7745,1.9414,7.7947,30,
123,1,1,6,75.9864,3,75.9864,35.8837,1.2109,-40.1027,-5,
123,1,1,7,196.4136,3,196.4136,216.9384,2.0714,20.5247,20,
123,1,1,8,47.5237,1,47.5237,68.0977,2.7418,20.5741,20,
123,1,1,9,319.0072,1,319.0072,319.3495,1.2909,0.34234,40,
123,1,1,10,45.0806,2,45.0806,37.4637,2.0214,-7.6169,30,
123,1,1,11,229.1411,2,229.1411,224.8921,2.1415,-4.249,30,
123,1,1,12,106.6302,2,106.6302,110.1008,1.2409,3.4706,30,
123,1,1,13,318.5002,1,318.5002,309.9061,1.6812,-8.5942,30,
123,1,1,14,16.27,2,16.27,19.2397,1.3609,2.9696,40,
123,1,1,15,105.3522,2,105.3522,107.7568,2.0214,2.4045,40,
123,1,1,16,255.2841,1,255.2841,237.7094,1.0512,-17.5747,20,
123,1,1,17,258.885,1,258.885,253.4786,1.221,-5.4063,30,
123,1,1,18,199.494,2,199.494,201.3873,1.9313,1.8933,40,
123,1,1,19,76.6904,3,76.6904,52.5691,1.0908,-24.1213,10,
123,1,1,20,346.3991,3,346.3991,333.752,1.3209,-12.6472,20,
123,1,1,21,345.4278,3,345.4278,339.6333,1.5811,-5.7945,30,
123,1,1,22,17.4112,3,17.4112,20.4637,2.1119,3.0525,30,
123,1,1,23,319.7899,1,319.7899,321.7899,3.2322,2,40,
123,1,1,24,138.3384,3,138.3384,124.9975,1.2409,-13.3409,20,
123,1,1,25,285.2493,3,285.2493,300.9109,1.3909,15.6616,20,
123,1,1,26,228.7424,1,228.7424,214.6105,1.3813,-14.1319,20,
123,1,1,27,255.601,1,255.601,226.1554,1.2309,-29.4455,10,
123,1,1,28,106.3942,3,106.3942,116.4039,1.5011,10.0097,30,
123,1,1,29,108.3316,2,108.3316,112.4795,1.1408,4.1479,30,
123,1,1,30,78.0386,2,78.0386,71.3047,0.84065,-6.7339,30,
123,1,2,31,347.3616,2,347.3616,329.8489,0.93073,-17.5127,20,
123,1,2,32,19.8439,2,19.8439,20.5115,1.421,0.66758,40,
123,1,2,33,199.4482,2,199.4482,204.3473,2.5417,4.8991,30,
123,1,2,34,17.7221,2,17.7221,27.19,1.471,9.4679,30,
123,1,2,35,165.6614,2,165.6614,146.4885,2.0814,-19.1729,20,
123,1,2,36,135.3468,2,135.3468,119.5066,1.9214,-15.8402,20,
123,1,2,37,139.4985,1,139.4985,149.0649,1.1108,9.5664,30,
123,1,2,38,77.0491,2,77.0491,69.3059,1.1008,-7.7432,30,
123,1,2,39,257.2826,1,257.2826,132.9575,1.8116,-124.3251,-20,
123,1,2,40,288.3558,1,288.3558,294.5343,0.99076,6.1785,30,
123,1,2,41,259.8507,2,259.8507,255.2124,1.7412,-4.6383,30,
123,1,2,42,288.8765,2,288.8765,300.6445,2.6218,11.7679,30,
123,1,2,43,199.9377,3,199.9377,220.9597,1.7612,21.022,10,
123,1,2,44,169.7542,1,169.7542,160.1618,1.2309,-9.5924,30,
123,1,2,45,197.7598,2,197.7598,186.7789,1.7912,-10.9809,30,
123,1,2,46,105.005,2,105.005,140.308,1.611,35.303,0,
123,1,2,47,139.1714,3,139.1714,145.2707,1.6912,6.0994,30,
123,1,2,48,76.4172,1,76.4172,74.447,2.3216,-1.9702,40,
123,1,2,49,106.7519,3,106.7519,125.4451,1.0908,18.6932,20,
123,1,2,50,77.8463,2,77.8463,68.4849,1.7412,-9.3614,30,
123,1,2,51,198.7,1,198.7,207.0479,1.6311,8.3479,30,
123,1,2,52,136.8907,1,136.8907,134.6564,1.0308,-2.2344,40,
123,1,2,53,107.3056,3,107.3056,108.1455,1.301,0.83987,40,
123,1,2,54,349.0059,3,349.0059,338.4386,1.1008,-10.5673,30,
123,1,2,55,229.9878,2,229.9878,211.314,1.9314,-18.6737,20,
123,1,2,56,168.5909,3,168.5909,217.9056,1.491,49.3147,-5,
123,1,2,57,257.3291,2,257.3291,228.4763,2.0915,-28.8528,10,
123,1,2,58,76.4142,2,76.4142,71.958,1.7416,-4.4562,30,
123,1,2,59,78.402,3,78.402,57.1566,1.7012,-21.2454,10,
123,1,2,60,168.7949,3,168.7949,155.1102,1.6612,-13.6847,20,
123,1,3,61,257.2641,2,257.2641,244.8023,1.0807,-12.4618,20,
123,1,3,62,317.1847,2,317.1847,312.0829,1.511,-5.1018,30,
123,1,3,63,349.3083,3,349.3083,6.0713,1.1308,16.763,20,
123,1,3,64,17.2137,3,17.2137,21.4105,1.1308,4.1968,30,
123,1,3,65,228.6452,1,228.6452,227.8839,1.1508,-0.76128,40,
123,1,3,66,255.1951,1,255.1951,246.7425,1.2309,-8.4526,30,
123,1,3,67,106.504,1,106.504,113.2122,1.0006,6.7081,30,
123,1,3,68,139.0496,3,139.0496,134.0281,1.3509,-5.0215,30,
