Subject,Session,Block,Trial,Stim,stimLoc,Target,Estimate,RT,Error,Points
117,1,1,1,17.2139,1,17.2139,22.7922,1.4506,5.5784,30,
117,1,1,2,199.0291,3,199.0291,207.4781,1.3907,8.449,30,
117,1,1,3,319.6843,1,319.6843,317.159,1.6114,-2.5254,40,
117,1,1,4,105.065,2,105.065,108.8104,1.4517,3.7454,30,
117,1,1,5,77.0944,1,77.0944,79.4054,1.1614,2.3111,40,
117,1,1,6,167.4934,2,167.4934,168.841,1.1908,1.3477,40,
117,1,1,7,46.9491,3,46.9491,23.329,2.2215,-23.6202,10,
117,1,1,8,287.2531,2,287.2531,309.5075,2.2716,22.2545,10,
117,1,1,9,106.6544,3,106.6544,113.5704,2.1314,6.916,30,
117,1,1,10,347.0551,2,347.0551,335.5174,2.8019,-11.5377,30,
117,1,1,11,255.1848,3,255.1848,241.3469,1.2109,-13.838,20,
117,1,1,12,348.2502,2,348.2502,343.1046,1.2008,-5.1456,30,
117,1,1,13,137.0274,2,137.0274,141.7948,1.7311,4.7674,30,
117,1,1,14,165.2618,2,165.2618,157.3937,1.5311,-7.8681,30,
117,1,1,15,258.7676,3,258.7676,266.5839,1.2209,7.8163,30,
117,1,1,16,226.2377,1,226.2377,220.0314,1.361,-6.2064,30,
117,1,1,17,287.8929,3,287.8929,297.9838,0.93072,10.0909,30,
117,1,1,18,79.3629,2,79.3629,70.5741,0.99067,-8.7888,30,
117,1,1,19,136.391,1,136.391,136.931,2.5818,0.53995,40,
117,1,1,20,315.1863,3,315.1863,316.9099,1.371,1.7236,40,
117,1,1,21,166.0708,1,166.0708,161.828,3.9727,-4.2428,30,
117,1,1,22,18.1258,1,18.1258,31.4664,1.8217,13.3405,20,
117,1,1,23,46.4591,1,46.4591,53.2867,1.2608,6.8276,30,
117,1,1,24,195.7491,1,195.7491,210.0339,1.6612,14.2848,20,
117,1,1,25,227.1432,3,227.1432,231.0052,1.7912,3.862,30,
117,1,1,26,15.2591,1,15.2591,30.2014,1.4209,14.9423,20,
117,1,1,27,199.5871,1,199.5871,216.3774,1.8714,16.7903,20,
117,1,1,28,138.169,3,138.169,150.7396,1.7212,12.5706,20,
117,1,1,29,17.7893,3,17.7893,18.374,1.4912,0.5847,40,
117,1,1,30,226.5057,3,226.5057,225.7238,1.5311,-0.78192,40,
117,1,2,31,318.4297,2,318.4297,312.5205,1.2709,-5.9092,30,
117,1,2,32,259.6262,2,259.6262,265.4,1.2809,5.7739,30,
117,1,2,33,47.7264,3,47.7264,37.3321,1.421,-10.3943,30,
117,1,2,34,78.3231,1,78.3231,93.4391,1.8013,15.116,20,
117,1,2,35,167.4522,3,167.4522,174.506,1.431,7.0538,30,
117,1,2,36,16.2011,3,16.2011,14.3253,1.411,-1.8758,40,
117,1,2,37,228.257,2,228.257,236.034,1.0611,7.777,30,
117,1,2,38,166.7307,3,166.7307,165.078,1.381,-1.6527,40,
117,1,2,39,318.5078,3,318.5078,305.3086,1.301,-13.1992,20,
117,1,2,40,285.2025,3,285.2025,285.2437,1.1609,0.041223,40,
117,1,2,41,197.4452,1,197.4452,200.5767,1.2009,3.1315,30,
117,1,2,42,346.4907,1,346.4907,336.4372,1.6312,-10.0534,30,
117,1,2,43,166.4098,1,166.4098,161.3261,1.241,-5.0837,30,
117,1,2,44,195.7683,1,195.7683,200.35,1.1609,4.5817,30,
117,1,2,45,287.9604,2,287.9604,293.8416,1.0908,5.8812,30,
117,1,2,46,258.4983,3,258.4983,248.5578,1.1708,-9.9405,30,
117,1,2,47,78.0453,1,78.0453,90.7689,1.2308,12.7236,20,
117,1,2,48,139.4921,1,139.4921,150.1498,1.311,10.6577,30,
117,1,2,49,46.9404,1,46.9404,46.0813,0.81064,-0.85908,40,
117,1,2,50,46.3634,1,46.3634,45.6885,1.9714,-0.67487,40,
117,1,2,51,315.1454,1,315.1454,312.5301,1.4611,-2.6153,40,
117,1,2,52,258.1906,2,258.1906,264.5449,1.7012,6.3543,30,
117,1,2,53,106.5969,1,106.5969,124.963,1.9014,18.3661,20,
117,1,2,54,258.7912,3,258.7912,254.7318,1.7512,-4.0594,30,
117,1,2,55,168.3263,2,168.3263,169.1198,1.7512,0.79353,40,
117,1,2,56,109.5099,3,109.5099,127.9754,1.7512,18.4655,20,
117,1,2,57,315.1092,3,315.1092,308.7752,1.6109,-6.3339,30,
117,1,2,58,169.1099,3,169.1099,170.9492,1.1208,1.8393,40,
117,1,2,59,139.9417,2,139.9417,148.1659,1.5611,8.2242,30,
