Subject,Session,Block,Trial,Stim,stimLoc,Target,Estimate,RT,Error,Points
112,1,1,1,229.1967,2,229.1967,226.8894,1.6709,-2.3073,40,
112,1,1,2,257.7512,2,257.7512,258.7241,3.8524,0.97289,40,
112,1,1,3,108.6438,2,108.6438,110.2699,2.0818,1.6261,40,
112,1,1,4,256.0788,1,256.0788,250.1103,2.2115,-5.9685,30,
112,1,1,5,17.2139,2,17.2139,28.6832,1.7013,11.4694,30,
112,1,1,6,199.0291,2,199.0291,214.0182,1.9312,14.9891,20,
112,1,1,7,319.6843,3,319.6843,325.4915,0.90068,5.8072,30,
112,1,1,8,105.065,2,105.065,112.1274,1.3409,7.0624,30,
112,1,1,9,77.0944,3,77.0944,67.8229,2.1514,-9.2714,30,
112,1,1,10,167.4934,1,167.4934,160.5622,1.1108,-6.9312,30,
112,1,1,11,46.9491,3,46.9491,53.9323,1.0709,6.9832,30,
112,1,1,12,287.2531,3,287.2531,301.2712,1.1609,14.0182,20,
112,1,1,13,106.6544,1,106.6544,108.58,1.9613,1.9256,40,
112,1,1,14,347.0551,2,347.0551,330.8782,1.7312,-16.177,20,
112,1,1,15,255.1848,1,255.1848,257.6224,1.2309,2.4375,40,
112,1,1,16,348.2502,1,348.2502,350.676,1.551,2.4258,40,
112,1,1,17,137.0274,2,137.0274,131.4884,1.4109,-5.539,30,
112,1,1,18,165.2618,2,165.2618,150.303,1.2809,-14.9588,20,
112,1,1,19,258.7676,2,258.7676,243.2815,1.9314,-15.4861,20,
112,1,1,20,226.2377,2,226.2377,213.6525,1.6612,-12.5852,20,
112,1,1,21,287.8929,1,287.8929,292.1495,1.6912,4.2567,30,
112,1,1,22,79.3629,1,79.3629,69.8249,2.2115,-9.538,30,
112,1,1,23,136.391,3,136.391,123.0477,1.6111,-13.3433,20,
112,1,1,24,315.1863,3,315.1863,121.8291,2.5717,166.6428,-20,
112,1,1,25,166.0708,1,166.0708,157.846,1.371,-8.2249,30,
112,1,1,26,18.1258,2,18.1258,35.1525,1.8014,17.0267,20,
112,1,1,27,46.4591,3,46.4591,44.011,1.5011,-2.4482,40,
112,1,1,28,195.7491,1,195.7491,210.9878,1.2308,15.2388,20,
112,1,1,29,227.1432,3,227.1432,214.9945,1.7311,-12.1487,20,
112,1,1,30,15.2591,3,15.2591,28.3659,0.97104,13.1067,20,
112,1,2,31,199.5871,2,199.5871,207.3282,1.9713,7.7411,30,
112,1,2,32,138.169,3,138.169,138.8055,1.551,0.63645,40,
112,1,2,33,17.7893,1,17.7893,12.7729,2.6218,-5.0164,30,
112,1,2,34,226.5057,2,226.5057,239.0953,2.1815,12.5895,20,
112,1,2,35,318.4297,2,318.4297,297.9211,2.1014,-20.5087,20,
112,1,2,36,259.6262,3,259.6262,267.4883,1.431,7.8621,30,
112,1,2,37,47.7264,2,47.7264,47.8437,1.1708,0.11732,40,
112,1,2,38,78.3231,2,78.3231,73.3118,1.8012,-5.0112,30,
112,1,2,39,167.4522,1,167.4522,153.1794,1.5812,-14.2728,20,
112,1,2,40,16.2011,1,16.2011,35.7619,2.2618,19.5607,20,
112,1,2,41,228.257,2,228.257,231.0254,2.1014,2.7683,40,
