Subject,Session,Block,Trial,Stim,stimLoc,Target,Estimate,RT,Error,Points
118,1,1,1,348.4074,1,348.4074,265.0636,3.1322,-83.3437,-20,
118,1,1,2,169.2918,2,169.2918,96.2569,8.4053,-73.0348,-20,
118,1,1,3,257.3371,2,257.3371,257.7989,2.1014,0.46188,40,
118,1,1,4,347.6658,3,347.6658,311.8797,1.3909,-35.7861,0,
118,1,1,5,138.9798,1,138.9798,136.1831,1.4709,-2.7967,40,
118,1,1,6,75.9864,3,75.9864,38.2993,2.2015,-37.6871,0,
118,1,1,7,196.4136,3,196.4136,204.3753,1.5811,7.9617,30,
118,1,1,8,47.5237,1,47.5237,56.456,2.6918,8.9324,30,
118,1,1,9,319.0072,1,319.0072,228.9297,1.4309,-90.0775,-20,
118,1,1,10,45.0806,2,45.0806,303.6253,1.7312,-101.4553,-20,
118,1,1,11,229.1411,2,229.1411,356.4777,1.8115,127.3366,-20,
118,1,1,12,106.6302,2,106.6302,119.6859,2.1014,13.0557,20,
118,1,1,13,318.5002,1,318.5002,83.0955,3.2621,124.5953,-20,
118,1,1,14,16.27,2,16.27,331.7882,3.2522,-44.4818,-5,
118,1,1,15,105.3522,2,105.3522,119.724,2.2014,14.3718,20,
118,1,1,16,255.2841,1,255.2841,49.5761,1.6612,154.2921,-20,
118,1,1,17,258.885,1,258.885,261.3784,1.1608,2.4935,40,
118,1,1,18,199.494,2,199.494,127.6291,0.95094,-71.8648,-20,
118,1,1,19,76.6904,3,76.6904,339.5947,1.1208,-97.0958,-20,
118,1,1,20,346.3991,3,346.3991,3.1798,1.2709,16.7806,20,
118,1,1,21,345.4278,3,345.4278,117.0281,1.6011,131.6004,-20,
118,1,1,22,17.4112,3,17.4112,12.0636,1.8911,-5.3476,30,
118,1,1,23,319.7899,1,319.7899,153.4899,1.2112,-166.2999,-20,
118,1,1,24,138.3384,3,138.3384,323.6456,1.6811,-174.6928,-20,
118,1,1,25,285.2493,3,285.2493,259.7934,1.2208,-25.4559,10,
118,1,1,26,228.7424,1,228.7424,57.0517,1.2408,-171.6907,-20,
118,1,1,27,255.601,1,255.601,281.0874,0.92064,25.4864,10,
118,1,1,28,106.3942,3,106.3942,37.5249,1.5711,-68.8693,-20,
118,1,1,29,108.3316,2,108.3316,104.9904,1.0207,-3.3412,30,
118,1,1,30,78.0386,2,78.0386,56.7569,0.94064,-21.2817,10,
118,1,2,31,347.3616,2,347.3616,341.0114,1.5014,-6.3502,30,
118,1,2,32,19.8439,2,19.8439,2.7438,1.6512,-17.1001,20,
118,1,2,33,199.4482,2,199.4482,202.0383,1.8613,2.5901,40,
118,1,2,34,17.7221,2,17.7221,203.685,2.1014,-174.0371,-20,
118,1,2,35,165.6614,2,165.6614,102.7026,2.0814,-62.9588,-20,
118,1,2,36,135.3468,2,135.3468,264.6912,1.6711,129.3443,-20,
118,1,2,37,139.4985,1,139.4985,331.853,1.5509,-167.6456,-20,
118,1,2,38,77.0491,2,77.0491,118.8361,1.2608,41.787,-5,
118,1,2,39,257.2826,1,257.2826,125.3967,1.2509,-131.8859,-20,
118,1,2,40,288.3558,1,288.3558,302.6886,2.2815,14.3328,20,
118,1,2,41,259.8507,2,259.8507,243.7097,1.2808,-16.141,20,
118,1,2,42,288.8765,2,288.8765,143.3036,0.96061,-145.573,-20,
118,1,2,43,199.9377,3,199.9377,67.5839,1.8012,-132.3538,-20,
118,1,2,44,169.7542,1,169.7542,262.2089,1.3409,92.4547,-20,
118,1,2,45,197.7598,2,197.7598,37.1502,0.73034,-160.6096,-20,
118,1,2,46,105.005,2,105.005,303.3487,1.9112,-161.6563,-20,
118,1,2,47,139.1714,3,139.1714,55.8741,2.0714,-83.2972,-20,
118,1,2,48,76.4172,1,76.4172,47.9699,1.2308,-28.4473,10,
118,1,2,49,106.7519,3,106.7519,21.3337,1.1708,-85.4182,-20,
118,1,2,50,77.8463,2,77.8463,51.1061,0.90075,-26.7402,10,
118,1,2,51,198.7,1,198.7,224.9508,1.0108,26.2507,10,
118,1,2,52,136.8907,1,136.8907,119.7745,1.3409,-17.1162,20,
118,1,2,53,107.3056,3,107.3056,46.594,1.3714,-60.7117,-20,
118,1,2,54,349.0059,3,349.0059,280.7909,1.2008,-68.215,-20,
118,1,2,55,229.9878,2,229.9878,8.3308,1.2808,138.343,-20,
118,1,2,56,168.5909,3,168.5909,7.0299,1.451,-161.561,-20,
118,1,2,57,257.3291,2,257.3291,331.436,1.8212,74.1069,-20,
118,1,2,58,76.4142,2,76.4142,56.7826,1.231,-19.6316,20,
118,1,2,59,78.402,3,78.402,250.4413,2.2315,172.0393,-20,
