Subject,Session,Block,Trial,Stim,stimLoc,Target,Estimate,RT,Error,Points
104,1,3,84,169.1948,3,169.1948,163.3544,1.4409,-5.8404,30,
104,1,3,85,258.9015,1,258.9015,247.4076,1.6911,-11.4939,30,
104,1,3,86,79.7187,3,79.7187,75.6301,1.481,-4.0885,30,
104,1,3,87,107.9659,2,107.9659,117.4524,1.261,9.4865,30,
104,1,3,88,167.0852,2,167.0852,151.4169,1.391,-15.6683,20,
104,1,3,89,349.4986,1,349.4986,334.4078,1.451,-15.0908,20,
104,1,3,90,256.4169,1,256.4169,254.2104,1.401,-2.2065,40,
104,1,4,91,258.6043,1,258.6043,246.1785,1.8112,-12.4257,20,
104,1,4,92,16.9791,2,16.9791,36.9312,1.6711,19.9521,20,
104,1,4,93,256.5086,3,256.5086,261.5529,0.90067,5.0443,30,
104,1,4,94,17.15,3,17.15,19.6718,1.5411,2.5218,40,
104,1,4,95,106.2929,2,106.2929,123.8063,1.5013,17.5134,20,
104,1,4,96,198.6008,2,198.6008,192.2503,1.8313,-6.3506,30,
104,1,4,97,108.8778,3,108.8778,109.648,1.9513,0.77024,40,
104,1,4,98,319.1709,1,319.1709,322.6614,1.521,3.4905,30,
104,1,4,99,15.7625,1,15.7625,16.2009,3.5423,0.43845,40,
104,1,4,100,15.0229,1,15.0229,15.3591,1.7214,0.33621,40,
104,1,4,101,317.5849,1,317.5849,310.3706,1.8313,-7.2143,30,
104,1,4,102,16.1965,1,16.1965,13.7675,2.7918,-2.4289,40,
104,1,4,103,106.3007,1,106.3007,109.191,2.1216,2.8903,40,
104,1,4,104,315.017,1,315.017,312.0949,1.6712,-2.922,40,
104,1,4,105,46.8801,3,46.8801,29.3965,2.8919,-17.4835,20,
104,1,4,106,318.5298,2,318.5298,317.5156,2.8619,-1.0141,40,
104,1,4,107,79.5455,1,79.5455,69.5749,2.0914,-9.9706,30,
104,1,4,108,167.0193,1,167.0193,170.5618,0.96071,3.5425,30,
104,1,4,109,46.8019,2,46.8019,50.6382,1.1908,3.8364,30,
104,1,4,110,48.7383,3,48.7383,39.4484,2.1715,-9.2899,30,
104,1,4,111,347.6614,2,347.6614,333.4187,1.1808,-14.2427,20,
104,1,4,112,138.5972,1,138.5972,135.3486,1.3509,-3.2486,30,
104,1,4,113,166.7082,1,166.7082,153.8536,1.3813,-12.8546,20,
104,1,4,114,318.9486,1,318.9486,324.2338,2.0814,5.2851,30,
104,1,4,115,108.7331,1,108.7331,96.4309,1.3007,-12.3022,20,
104,1,4,116,167.8803,3,167.8803,143.0907,1.4611,-24.7896,10,
104,1,4,117,198.9451,2,198.9451,208.5448,1.1708,9.5997,30,
104,1,4,118,139.5582,1,139.5582,130.156,0.87065,-9.4022,30,
104,1,4,119,196.9671,3,196.9671,195.8096,1.2508,-1.1574,40,
104,1,4,120,135.1647,1,135.1647,121.9404,1.2309,-13.2243,20,
104,1,5,121,15.3798,1,15.3798,23.1645,1.9416,7.7847,30,
104,1,5,122,198.6443,2,198.6443,192.1023,0.81079,-6.542,30,
104,1,5,123,287.7941,3,287.7941,286.3353,1.7213,-1.4588,40,
104,1,5,124,18.5254,2,18.5254,23.1126,1.7912,4.5872,30,
104,1,5,125,227.7028,1,227.7028,236.0676,2.5417,8.3648,30,
104,1,5,126,105.9911,2,105.9911,120.4658,1.3109,14.4747,20,
104,1,5,127,168.9243,2,168.9243,161.8693,1.6511,-7.055,30,
104,1,5,128,137.7005,3,137.7005,124.0672,1.5411,-13.6333,20,
104,1,5,129,255.6363,3,255.6363,255.1766,2.2616,-0.4597,40,
104,1,5,130,19.2861,2,19.2861,25.6015,1.491,6.3154,30,
104,1,5,131,317.8887,2,317.8887,296.0425,2.4416,-21.8462,10,
104,1,5,132,315.1182,2,315.1182,319.6174,1.451,4.4992,30,
104,1,5,133,45.217,3,45.217,49.078,1.9015,3.8611,30,
104,1,5,134,105.7786,3,105.7786,99.6372,0.97071,-6.1414,30,
104,1,5,135,138.0905,1,138.0905,133.7999,1.1508,-4.2906,30,
104,1,5,136,195.7195,3,195.7195,199.2355,1.9813,3.5159,30,
104,1,5,137,286.1706,1,286.1706,294.3859,1.8012,8.2153,30,
104,1,5,138,348.4028,3,348.4028,338.7736,1.4111,-9.6293,30,
104,1,5,139,289.2858,3,289.2858,284.5146,1.0308,-4.7712,30,
104,1,5,140,106.6907,2,106.6907,118.569,1.3409,11.8783,30,
104,1,5,141,315.1258,3,315.1258,325.1069,1.4013,9.9812,30,
104,1,5,142,225.2566,1,225.2566,226.1153,2.2315,0.85878,40,
104,1,5,143,229.6806,3,229.6806,222.6805,1.461,-7.0001,30,
104,1,5,144,138.9629,3,138.9629,118.9376,1.0311,-20.0253,20,
104,1,5,145,318.3793,2,318.3793,320.2029,1.7812,1.8236,40,
104,1,5,146,168.7123,3,168.7123,148.6189,0.90066,-20.0935,20,
104,1,5,147,317.6079,2,317.6079,311.4354,1.7311,-6.1726,30,
104,1,5,148,17.4165,1,17.4165,32.1151,1.6615,14.6987,20,
104,1,5,149,108.1597,3,108.1597,102.5322,1.5811,-5.6275,30,
104,1,5,150,229.5067,1,229.5067,231.5335,1.2609,2.0267,40,
