Subject,Session,Block,Condition,Trial,whetherCued,midStim,leftStim,rightStim,remCueLoc,fogCueLoc,neutralCueLoc,probeCueLoc,probeRem,probeForget,probeNeutral,Target,Estimate,RT,Error,Points
104,1,1,2,49,1,256.6999,319.2336,46.2303,3,1,2,3,1,0,0,46.2303,48.4894,2.5717,2.259,40,
104,1,1,2,50,1,135.68,78.9445,105.462,3,2,1,3,1,0,0,105.462,114.1103,1.8813,8.6483,30,
104,1,1,2,51,1,75.0988,319.8215,349.8519,1,3,2,1,1,0,0,75.0988,130.9798,2.1214,55.881,-10,
104,1,1,1,52,1,19.6916,226.2771,107.6658,2,3,1,2,1,0,0,226.2771,219.5295,2.5917,-6.7476,30,
104,1,1,1,53,1,138.9798,226.1669,78.0042,1,3,2,2,0,0,1,226.1669,214.9455,3.4323,-11.2214,30,
104,1,1,2,54,1,346.4868,16.9821,317.1038,3,1,2,3,1,0,0,317.1038,291.7769,3.2821,-25.3268,10,
104,1,1,2,55,1,317.7541,79.3545,195.2113,2,3,1,1,0,0,1,317.7541,299.1673,4.0126,-18.5868,20,
104,1,1,1,56,1,47.5997,169.9459,257.4496,2,1,3,2,1,0,0,169.9459,149.0073,3.3522,-20.9386,20,
104,1,1,1,57,1,79.0846,195.9474,105.6185,1,3,2,1,1,0,0,79.0846,75.1024,2.3415,-3.9821,30,
104,1,1,1,58,1,76.6599,319.1987,286.8586,1,2,3,1,1,0,0,76.6599,121.6871,6.8144,45.0271,-5,
104,1,1,1,59,1,135.784,76.6302,46.5703,1,3,2,3,0,1,0,46.5703,80.5375,4.0326,33.9672,0,
104,1,1,2,60,1,286.0726,228.3995,167.7865,1,3,2,1,1,0,0,286.0726,298.2659,2.4417,12.1933,20,
104,1,2,1,61,1,287.0116,195.9092,139.2813,3,1,2,1,0,1,0,287.0116,315.4768,2.6619,28.4651,10,
104,1,2,2,62,1,225.9992,318.0367,107.7152,3,2,1,3,1,0,0,107.7152,89.377,3.0921,-18.3382,20,
104,1,2,2,63,1,48.791,169.4352,15.344,2,1,3,3,0,0,1,15.344,31.4515,3.3121,16.1075,20,
