Subject,Session,Block,Condition,Trial,whetherCued,midStim,leftStim,rightStim,remCueLoc,fogCueLoc,neutralCueLoc,probeCueLoc,probeRem,probeForget,probeNeutral,Target,Estimate,RT,Error,Points
123,1,1,1,1,1,347.6621,78.5825,225.8965,3,1,2,3,1,0,0,225.8965,294.3384,5.4236,68.4419,-20,
123,1,1,2,2,1,169.6783,319.0936,48.6413,3,1,2,1,0,1,0,169.6783,NaN,100000,999,0,
123,1,1,2,3,1,108.812,17.8803,78.7383,1,3,2,1,1,0,0,108.812,128.8463,2.1414,20.0343,20,
123,1,1,1,4,1,347.6614,136.397,49.7312,3,1,2,1,0,1,0,347.6614,161.7824,1.4009,174.121,-20,
123,1,1,2,5,1,78.6346,196.8692,47.9079,1,3,2,1,1,0,0,78.6346,61.4662,2.2808,-17.1684,20,
123,1,1,2,6,1,45.7597,16.9855,196.8736,3,1,2,3,1,0,0,196.8736,198.6665,2.1717,1.7929,40,
123,1,1,1,7,1,138.2116,316.1063,79.1853,2,1,3,1,0,1,0,138.2116,133.6598,1.1514,-4.5518,30,
123,1,1,2,8,1,319.2929,289.5553,168.4982,1,3,2,1,1,0,0,319.2929,309.4693,1.7311,-9.8235,30,
123,1,1,1,9,1,287.6468,199.1499,49.2938,2,3,1,2,1,0,0,199.1499,218.7903,1.8513,19.6404,20,
123,1,1,1,10,1,169.2518,139.5582,198.1964,1,2,3,1,1,0,0,169.2518,164.8367,1.531,-4.4151,30,
123,1,1,2,11,1,169.1329,48.3844,286.038,1,3,2,1,1,0,0,169.1329,174.0894,0.86055,4.9566,30,
123,1,1,1,12,1,287.2569,316.9132,48.9482,1,2,3,1,1,0,0,287.2569,286.5348,1.441,-0.72204,40,
123,1,1,1,13,1,228.7938,349.9761,315.9329,1,2,3,2,0,1,0,349.9761,319.9693,0.97072,-30.0068,0,
123,1,1,1,14,1,285.9688,47.1618,258.7458,1,3,2,1,1,0,0,285.9688,282.6005,1.8813,-3.3683,30,
123,1,1,2,15,1,19.6749,137.3974,346.159,1,3,2,1,1,0,0,19.6749,141.8093,0.9807,122.1344,-20,
123,1,1,1,16,1,287.6548,259.506,317.7028,3,1,2,3,1,0,0,317.7028,317.7047,1.0908,0.0019679,40,
123,1,1,1,17,1,105.9911,165.9754,316.6342,3,2,1,3,1,0,0,316.6342,299.7772,0.0017273,-16.857,20,
123,1,1,1,18,1,109.0699,259.4922,77.1462,2,3,1,2,1,0,0,259.4922,304.6445,2.0812,45.1523,-5,
123,1,1,2,19,1,315.4649,347.3174,285.0467,3,1,2,2,0,0,1,347.3174,331.02,1.6711,-16.2975,20,
123,1,1,2,20,1,77.1828,225.2461,105.2482,3,2,1,3,1,0,0,105.2482,69.1681,1.7412,-36.0801,0,
123,1,1,1,21,1,17.3062,228.1966,259.5867,3,2,1,2,0,1,0,228.1966,256.0503,2.5618,27.8537,10,
123,1,1,2,22,1,19.9049,195.6352,286.1612,3,2,1,3,1,0,0,286.1612,293.7145,3.2322,7.5533,30,
123,1,1,1,23,1,19.2845,75.217,318.4581,2,3,1,2,1,0,0,75.217,67.6966,1.351,-7.5204,30,
123,1,1,2,24,1,79.095,348.1246,228.6928,1,2,3,2,0,1,0,348.1246,NaN,100000,999,0,
123,1,1,1,25,1,49.4771,227.9126,257.9137,3,1,2,2,0,0,1,227.9126,60.2214,1.511,-167.6912,-20,
123,1,1,2,26,1,47.0319,136.931,228.049,2,3,1,2,1,0,0,136.931,60.2214,0.76056,-76.7096,-20,
123,1,1,1,27,1,77.6151,16.6265,49.1592,3,2,1,3,1,0,0,49.1592,243.7077,1.3109,-165.4515,-20,
123,1,1,2,28,1,137.6428,345.2572,78.7844,2,1,3,2,1,0,0,345.2572,79.1004,1.3109,93.8432,-20,
123,1,1,1,29,1,168.7425,317.7165,226.6907,3,2,1,1,0,0,1,168.7425,163.7929,1.1408,-4.9497,30,
123,1,1,2,30,1,315.1258,197.0721,138.657,2,3,1,2,1,0,0,197.0721,182.6286,1.511,-14.4436,20,
123,1,1,2,31,1,315.8145,169.192,195.8378,3,1,2,3,1,0,0,195.8378,209.0104,1.4611,13.1726,20,
123,1,1,2,32,1,109.7017,135.0292,228.0515,2,3,1,2,1,0,0,135.0292,131.2709,1.501,-3.7583,30,
123,1,1,2,33,1,256.4523,47.0128,289.3103,2,1,3,2,1,0,0,47.0128,55.1098,1.3809,8.097,30,
123,1,1,1,34,1,319.2054,76.7725,167.1503,1,2,3,3,0,0,1,167.1503,186.119,2.6318,18.9686,20,
123,1,1,2,35,1,289.8173,135.4295,167.5025,3,1,2,3,1,0,0,167.5025,154.9644,1.7212,-12.5381,20,
123,1,1,2,36,1,46.5193,197.4165,346.6891,2,3,1,2,1,0,0,197.4165,178.2552,2.9421,-19.1612,20,
123,1,1,1,37,1,79.9262,107.7974,169.668,1,2,3,1,1,0,0,79.9262,103.6142,1.5311,23.688,10,
123,1,1,1,38,1,135.5422,165.1806,228.0905,1,3,2,3,0,1,0,228.0905,184.0239,1.8413,-44.0665,-5,
123,1,1,2,39,1,259.4502,346.651,166.1485,1,3,2,1,1,0,0,259.4502,253.7469,1.2908,-5.7033,30,
123,1,1,2,40,1,135.5697,19.8928,79.243,2,1,3,1,0,1,0,135.5697,NaN,100000,999,0,
123,1,1,1,41,1,285.5402,17.2994,137.2544,2,3,1,3,0,1,0,137.2544,31.1481,1.451,-106.1064,-20,
123,1,1,1,42,1,138.7045,347.534,165.9996,3,1,2,2,0,0,1,347.534,36.1942,2.0213,48.6602,-5,
123,1,1,1,43,1,169.3879,345.0718,46.4715,2,1,3,3,0,0,1,46.4715,26.2344,1.7512,-20.2371,20,
123,1,1,1,44,1,227.7164,78.5126,19.7822,3,1,2,3,1,0,0,19.7822,22.9259,1.2309,3.1437,30,
123,1,1,1,45,1,78.8751,319.5709,48.9128,2,3,1,2,1,0,0,319.5709,344.2904,1.4109,24.7194,10,
123,1,1,2,46,1,48.4957,168.9813,137.2079,3,2,1,1,0,0,1,48.4957,106.7268,1.6111,58.2311,-10,
123,1,1,2,47,1,315.7287,287.9252,345.3668,3,2,1,3,1,0,0,345.3668,312.3106,0.9507,-33.0562,0,
123,1,1,1,48,1,286.8252,226.5457,315.6046,2,1,3,2,1,0,0,226.5457,244.9626,1.9313,18.4168,20,
123,1,1,2,49,1,256.6999,319.2336,46.2303,3,1,2,3,1,0,0,46.2303,16.7925,1.451,-29.4379,10,
123,1,1,2,50,1,135.68,78.9445,105.462,3,2,1,3,1,0,0,105.462,102.5667,1.6812,-2.8953,40,
123,1,1,2,51,1,75.0988,319.8215,349.8519,1,3,2,1,1,0,0,75.0988,86.8525,1.2508,11.7537,30,
123,1,1,1,52,1,19.6916,226.2771,107.6658,2,3,1,2,1,0,0,226.2771,239.9777,2.1215,13.7005,20,
123,1,1,1,53,1,138.9798,226.1669,78.0042,1,3,2,2,0,0,1,226.1669,64.3129,1.2909,-161.854,-20,
123,1,1,2,54,1,346.4868,16.9821,317.1038,3,1,2,3,1,0,0,317.1038,314.472,0.91069,-2.6317,40,
123,1,1,2,55,1,317.7541,79.3545,195.2113,2,3,1,1,0,0,1,317.7541,336.8678,1.391,19.1137,20,
123,1,1,1,56,1,47.5997,169.9459,257.4496,2,1,3,2,1,0,0,169.9459,142.8626,1.4911,-27.0833,10,
123,1,1,1,57,1,79.0846,195.9474,105.6185,1,3,2,1,1,0,0,79.0846,95.2913,1.2111,16.2067,20,
123,1,1,1,58,1,76.6599,319.1987,286.8586,1,2,3,1,1,0,0,76.6599,106.9201,1.0707,30.2601,0,
123,1,1,1,59,1,135.784,76.6302,46.5703,1,3,2,3,0,1,0,46.5703,23.5956,1.7812,-22.9747,10,
123,1,1,2,60,1,286.0726,228.3995,167.7865,1,3,2,1,1,0,0,286.0726,340.7937,1.2008,54.7212,-10,
123,1,2,1,61,1,287.0116,195.9092,139.2813,3,1,2,1,0,1,0,287.0116,275.2888,1.3509,-11.7228,30,
123,1,2,2,62,1,225.9992,318.0367,107.7152,3,2,1,3,1,0,0,107.7152,105.1936,1.7212,-2.5216,40,
123,1,2,2,63,1,48.791,169.4352,15.344,2,1,3,3,0,0,1,15.344,34.6858,1.1408,19.3418,20,
123,1,2,2,64,1,16.9081,317.8384,169.4393,3,1,2,3,1,0,0,169.4393,28.7088,1.2108,-140.7305,-20,
123,1,2,2,65,1,139.6308,166.4925,256.6904,1,2,3,1,1,0,0,139.6308,147.5362,1.2008,7.9053,30,
123,1,2,1,66,1,346.3991,77.235,47.9379,1,2,3,3,0,0,1,47.9379,36.4442,0.93066,-11.4937,30,
123,1,2,2,67,1,349.442,316.1658,289.308,3,2,1,3,1,0,0,289.308,301.7993,0.79057,12.4913,20,
123,1,2,1,68,1,287.6372,108.625,348.0371,2,3,1,3,0,1,0,348.0371,318.7277,1.0907,-29.3094,10,
123,1,2,1,69,1,349.0746,135.7025,259.3993,3,2,1,3,1,0,0,259.3993,297.4922,0.68056,38.0929,0,
123,1,2,1,70,1,15.4219,229.8604,285.1573,2,3,1,2,1,0,0,229.8604,227.2002,1.6912,-2.6603,40,
123,1,2,1,71,1,318.2673,77.4483,349.8643,3,2,1,3,1,0,0,349.8643,317.0745,1.2809,-32.7898,0,
123,1,2,1,72,1,287.6205,225.601,105.889,3,2,1,1,0,0,1,287.6205,312.2509,1.2709,24.6304,10,
123,1,2,1,73,1,77.9122,257.105,345.4603,1,3,2,1,1,0,0,77.9122,72.343,0.87056,-5.5692,30,
123,1,2,1,74,1,15.8762,165.966,258.0821,3,1,2,3,1,0,0,258.0821,256.3248,1.2211,-1.7573,40,
123,1,2,1,75,1,288.861,317.3768,18.4045,2,3,1,2,1,0,0,317.3768,331.2249,1.7311,13.8481,20,
123,1,2,2,76,1,139.1315,79.956,197.6197,2,3,1,2,1,0,0,79.956,131.8604,1.8313,51.9044,-10,
123,1,2,2,77,1,317.3578,347.715,225.2985,1,2,3,2,0,1,0,347.715,NaN,100000,999,0,
123,1,2,1,78,1,79.1667,256.0186,227.7221,1,3,2,2,0,0,1,256.0186,233.867,1.8512,-22.1516,10,
123,1,2,2,79,1,165.6614,49.3524,348.0148,2,1,3,3,0,0,1,348.0148,341.1991,1.391,-6.8157,30,
123,1,2,2,80,1,76.8968,319.3234,17.0998,3,1,2,3,1,0,0,17.0998,21.6586,1.3109,4.5588,30,
123,1,2,2,81,1,349.1405,287.5372,16.8308,2,3,1,2,1,0,0,287.5372,340.635,1.9113,53.0978,-10,
123,1,2,2,82,1,167.8456,109.3752,136.7429,2,1,3,1,0,1,0,167.8456,NaN,100000,999,0,
123,1,2,1,83,1,17.3376,75.7067,45.3407,2,1,3,2,1,0,0,75.7067,53.069,1.341,-22.6377,10,
123,1,2,1,84,1,346.2021,48.4245,319.1963,3,1,2,3,1,0,0,319.1963,321.303,0.81057,2.1067,40,
123,1,2,1,85,1,316.9479,48.8765,285.8968,3,1,2,3,1,0,0,285.8968,325.1688,1.2209,39.2719,0,
123,1,2,1,86,1,169.6136,317.8213,17.1573,2,1,3,2,1,0,0,317.8213,325.079,1.8913,7.2577,30,
123,1,2,1,87,1,79.9629,257.2792,17.1302,2,1,3,2,1,0,0,257.2792,316.8232,1.6612,59.544,-10,
123,1,2,1,88,1,348.4165,318.0428,46.0983,3,1,2,3,1,0,0,46.0983,11.5933,1.4009,-34.5049,0,
123,1,2,1,89,1,169.7606,319.8793,345.1546,1,2,3,1,1,0,0,169.7606,170.2069,1.0109,0.4463,40,
123,1,2,1,90,1,196.2163,77.8571,319.9086,1,2,3,1,1,0,0,196.2163,193.8811,1.4112,-2.3353,40,
123,1,2,2,91,1,165.7083,257.1895,196.7519,3,1,2,3,1,0,0,196.7519,171.5479,1.6011,-25.2041,10,
123,1,2,1,92,1,77.8463,166.2439,346.5965,3,1,2,2,0,0,1,166.2439,170.4203,1.5311,4.1764,30,
123,1,2,2,93,1,138.0017,285.425,169.6118,3,2,1,2,0,1,0,285.425,NaN,100000,999,0,
123,1,2,1,94,1,15.2493,78.4264,168.1014,3,1,2,2,0,0,1,78.4264,79.4307,0.9107,1.0043,40,
123,1,2,1,95,1,226.5739,288.6337,107.5789,1,3,2,1,1,0,0,226.5739,222.0876,1.261,-4.4863,30,
123,1,2,1,96,1,105.3874,229.2531,45.7226,1,3,2,3,0,1,0,45.7226,149.7625,1.5211,104.0398,-20,
123,1,2,2,97,1,256.898,166.5953,19.9303,2,3,1,1,0,0,1,256.898,248.4927,1.2009,-8.4053,30,
123,1,2,2,98,1,289.4674,317.3291,167.8043,2,1,3,2,1,0,0,317.3291,317.6894,1.9114,0.36033,40,
123,1,2,1,99,1,46.0259,137.1957,345.1363,2,1,3,3,0,0,1,345.1363,140.4631,2.4817,155.3269,-20,
