Subject,Session,Block,Condition,Trial,whetherCued,midStim,leftStim,rightStim,remCueLoc,fogCueLoc,neutralCueLoc,probeCueLoc,probeRem,probeForget,probeNeutral,Target,Estimate,RT,Error,Points
112,1,1,1,1,1,347.6621,78.5825,225.8965,3,1,2,3,1,0,0,225.8965,249.9214,5.5236,24.0249,10,
112,1,1,2,2,1,169.6783,319.0936,48.6413,3,1,2,1,0,1,0,169.6783,NaN,100000,999,0,
112,1,1,2,3,1,108.812,17.8803,78.7383,1,3,2,1,1,0,0,108.812,97.4373,3.5127,-11.3747,30,
112,1,1,1,4,1,347.6614,136.397,49.7312,3,1,2,1,0,1,0,347.6614,154.3994,3.5822,166.7379,-20,
112,1,1,2,5,1,78.6346,196.8692,47.9079,1,3,2,1,1,0,0,78.6346,98.2508,1.9305,19.6162,20,
112,1,1,2,6,1,45.7597,16.9855,196.8736,3,1,2,3,1,0,0,196.8736,198.4999,2.7625,1.6263,40,
112,1,1,1,7,1,138.2116,316.1063,79.1853,2,1,3,1,0,1,0,138.2116,154.0826,5.4429,15.871,20,
112,1,1,2,8,1,319.2929,289.5553,168.4982,1,3,2,1,1,0,0,319.2929,303.2279,3.9223,-16.0649,20,
112,1,1,1,9,1,287.6468,199.1499,49.2938,2,3,1,2,1,0,0,199.1499,200.0457,8.6656,0.89578,40,
112,1,1,1,10,1,169.2518,139.5582,198.1964,1,2,3,1,1,0,0,169.2518,177.0837,4.7831,7.8319,30,
112,1,1,2,11,1,169.1329,48.3844,286.038,1,3,2,1,1,0,0,169.1329,168.265,4.7331,-0.86791,40,
112,1,1,1,12,1,287.2569,316.9132,48.9482,1,2,3,1,1,0,0,287.2569,300.6443,5.2935,13.3874,20,
112,1,1,1,13,1,228.7938,349.9761,315.9329,1,2,3,2,0,1,0,349.9761,338.0002,6.8945,-11.9759,30,
112,1,1,1,14,1,285.9688,47.1618,258.7458,1,3,2,1,1,0,0,285.9688,216.1283,4.6231,-69.8406,-20,
112,1,1,2,15,1,19.6749,137.3974,346.159,1,3,2,1,1,0,0,19.6749,201.5753,3.3721,-178.0996,-20,
112,1,1,1,16,1,287.6548,259.506,317.7028,3,1,2,3,1,0,0,317.7028,318.8804,3.4023,1.1777,40,
112,1,1,1,17,1,105.9911,165.9754,316.6342,3,2,1,3,1,0,0,316.6342,320.9409,3.0119,4.3067,30,
112,1,1,1,18,1,109.0699,259.4922,77.1462,2,3,1,2,1,0,0,259.4922,246.7004,3.6224,-12.7918,20,
112,1,1,2,19,1,315.4649,347.3174,285.0467,3,1,2,2,0,0,1,347.3174,342.749,3.1722,-4.5684,30,
112,1,1,2,20,1,77.1828,225.2461,105.2482,3,2,1,3,1,0,0,105.2482,99.8471,2.8219,-5.401,30,
