Subject,Session,Block,Condition,Trial,whetherCued,midStim,leftStim,rightStim,remCueLoc,fogCueLoc,neutralCueLoc,probeCueLoc,probeRem,probeForget,probeNeutral,Target,Estimate,RT,Error,Points
115,1,1,1,1,1,347.6621,78.5825,225.8965,3,1,2,3,1,0,0,225.8965,252.2995,1.0069,26.403,10,
115,1,1,2,2,1,169.6783,319.0936,48.6413,3,1,2,1,0,1,0,169.6783,NaN,100000,999,0,
115,1,1,2,3,1,108.812,17.8803,78.7383,1,3,2,1,1,0,0,108.812,129.3136,1.3265,20.5016,20,
115,1,1,1,4,1,347.6614,136.397,49.7312,3,1,2,1,0,1,0,347.6614,305.6568,1.6945,-42.0046,-5,
115,1,1,2,5,1,78.6346,196.8692,47.9079,1,3,2,1,1,0,0,78.6346,97.2556,1.2492,18.621,20,
115,1,1,2,6,1,45.7597,16.9855,196.8736,3,1,2,3,1,0,0,196.8736,226.2712,1.0697,29.3976,10,
115,1,1,1,7,1,138.2116,316.1063,79.1853,2,1,3,1,0,1,0,138.2116,132.8567,0.93087,-5.3549,30,
115,1,1,2,8,1,319.2929,289.5553,168.4982,1,3,2,1,1,0,0,319.2929,302.6028,1.4096,-16.69,20,
115,1,1,1,9,1,287.6468,199.1499,49.2938,2,3,1,2,1,0,0,199.1499,220.7079,1.3403,21.558,10,
115,1,1,1,10,1,169.2518,139.5582,198.1964,1,2,3,1,1,0,0,169.2518,155.4464,1.7014,-13.8054,20,
115,1,1,2,11,1,169.1329,48.3844,286.038,1,3,2,1,1,0,0,169.1329,160.0681,0.95831,-9.0647,30,
115,1,1,1,12,1,287.2569,316.9132,48.9482,1,2,3,1,1,0,0,287.2569,307.9745,1.2431,20.7177,20,
115,1,1,1,13,1,228.7938,349.9761,315.9329,1,2,3,2,0,1,0,349.9761,43.8582,1.4588,53.8821,-10,
115,1,1,1,14,1,285.9688,47.1618,258.7458,1,3,2,1,1,0,0,285.9688,290.1438,1.8403,4.175,30,
115,1,1,2,15,1,19.6749,137.3974,346.159,1,3,2,1,1,0,0,19.6749,26.2053,1.3403,6.5304,30,
115,1,1,1,16,1,287.6548,259.506,317.7028,3,1,2,3,1,0,0,317.7028,302.6715,1.1182,-15.0313,20,
115,1,1,1,17,1,105.9911,165.9754,316.6342,3,2,1,3,1,0,0,316.6342,301.679,1.0351,-14.9552,20,
