Subject,Session,Block,Condition,Trial,whetherCued,midStim,leftStim,rightStim,remCueLoc,fogCueLoc,neutralCueLoc,probeCueLoc,probeRem,probeForget,probeNeutral,Target,Estimate,RT,Error,Points
114,1,1,1,1,1,347.6621,78.5825,225.8965,3,1,2,3,1,0,0,225.8965,224.896,1.9113,-1.0005,40,
114,1,1,2,2,1,169.6783,319.0936,48.6413,3,1,2,1,0,1,0,169.6783,NaN,100000,999,0,
114,1,1,2,3,1,108.812,17.8803,78.7383,1,3,2,1,1,0,0,108.812,5.2508,1.521,-103.5612,-20,
114,1,1,1,4,1,347.6614,136.397,49.7312,3,1,2,1,0,1,0,347.6614,149.2545,1.9717,161.5931,-20,
114,1,1,2,5,1,78.6346,196.8692,47.9079,1,3,2,1,1,0,0,78.6346,60.4088,2.1104,-18.2258,20,
114,1,1,2,6,1,45.7597,16.9855,196.8736,3,1,2,3,1,0,0,196.8736,214.5718,1.3717,17.6982,20,
114,1,1,1,7,1,138.2116,316.1063,79.1853,2,1,3,1,0,1,0,138.2116,48.1266,1.8615,-90.085,-20,
114,1,1,2,8,1,319.2929,289.5553,168.4982,1,3,2,1,1,0,0,319.2929,296.0293,1.4708,-23.2636,10,
114,1,1,1,9,1,287.6468,199.1499,49.2938,2,3,1,2,1,0,0,199.1499,153.7209,2.2816,-45.429,-5,
114,1,1,1,10,1,169.2518,139.5582,198.1964,1,2,3,1,1,0,0,169.2518,180,0.96071,10.7482,30,
114,1,1,2,11,1,169.1329,48.3844,286.038,1,3,2,1,1,0,0,169.1329,176.2925,1.441,7.1596,30,
114,1,1,1,12,1,287.2569,316.9132,48.9482,1,2,3,1,1,0,0,287.2569,291.0539,2.4616,3.797,30,
114,1,1,1,13,1,228.7938,349.9761,315.9329,1,2,3,2,0,1,0,349.9761,318.066,2.3916,-31.9101,0,
114,1,1,1,14,1,285.9688,47.1618,258.7458,1,3,2,1,1,0,0,285.9688,311.3402,2.2116,25.3714,10,
114,1,1,2,15,1,19.6749,137.3974,346.159,1,3,2,1,1,0,0,19.6749,35.0681,1.7213,15.3932,20,
114,1,1,1,16,1,287.6548,259.506,317.7028,3,1,2,3,1,0,0,317.7028,300.6072,0.9211,-17.0956,20,
114,1,1,1,17,1,105.9911,165.9754,316.6342,3,2,1,3,1,0,0,316.6342,300.6072,1.421,-16.027,20,
114,1,1,1,18,1,109.0699,259.4922,77.1462,2,3,1,2,1,0,0,259.4922,79.1865,1.8913,179.6943,-20,
114,1,1,2,19,1,315.4649,347.3174,285.0467,3,1,2,2,0,0,1,347.3174,327.733,2.0314,-19.5845,20,
114,1,1,2,20,1,77.1828,225.2461,105.2482,3,2,1,3,1,0,0,105.2482,123.4495,2.6718,18.2014,20,
114,1,1,1,21,1,17.3062,228.1966,259.5867,3,2,1,2,0,1,0,228.1966,229.3569,1.8613,1.1603,40,
114,1,1,2,22,1,19.9049,195.6352,286.1612,3,2,1,3,1,0,0,286.1612,273.5409,1.2209,-12.6203,20,
114,1,1,1,23,1,19.2845,75.217,318.4581,2,3,1,2,1,0,0,75.217,60.6084,2.1115,-14.6085,20,
114,1,1,2,24,1,79.095,348.1246,228.6928,1,2,3,2,0,1,0,348.1246,NaN,100000,999,0,
114,1,1,1,25,1,49.4771,227.9126,257.9137,3,1,2,2,0,0,1,227.9126,237.0873,1.8013,9.1747,30,
114,1,1,2,26,1,47.0319,136.931,228.049,2,3,1,2,1,0,0,136.931,130.7668,1.2809,-6.1641,30,
114,1,1,1,27,1,77.6151,16.6265,49.1592,3,2,1,3,1,0,0,49.1592,35.1994,1.5613,-13.9599,20,
114,1,1,2,28,1,137.6428,345.2572,78.7844,2,1,3,2,1,0,0,345.2572,325.537,1.0307,-19.7202,20,
114,1,1,1,29,1,168.7425,317.7165,226.6907,3,2,1,1,0,0,1,168.7425,352.2575,1.6011,-176.485,-20,
114,1,1,2,30,1,315.1258,197.0721,138.657,2,3,1,2,1,0,0,197.0721,160.6746,1.9313,-36.3976,0,
114,1,1,2,31,1,315.8145,169.192,195.8378,3,1,2,3,1,0,0,195.8378,207.5216,1.2809,11.6838,30,
114,1,1,2,32,1,109.7017,135.0292,228.0515,2,3,1,2,1,0,0,135.0292,129.8715,1.8913,-5.1577,30,
114,1,1,2,33,1,256.4523,47.0128,289.3103,2,1,3,2,1,0,0,47.0128,153.9716,1.8613,106.9588,-20,
