Subject,Session,Block,Condition,Trial,whetherCued,midStim,leftStim,rightStim,remCueLoc,fogCueLoc,neutralCueLoc,probeCueLoc,probeRem,probeForget,probeNeutral,Target,Estimate,RT,Error,Points
121,1,1,1,1,1,347.6621,78.5825,225.8965,3,1,2,3,1,0,0,225.8965,353.2268,1.6875,127.3303,-20,
121,1,1,2,2,1,169.6783,319.0936,48.6413,3,1,2,1,0,1,0,169.6783,NaN,100000,999,0,
121,1,1,2,3,1,108.812,17.8803,78.7383,1,3,2,1,1,0,0,108.812,102.3666,2.8888,-6.4454,30,
121,1,1,1,4,1,347.6614,136.397,49.7312,3,1,2,1,0,1,0,347.6614,320.304,2.7506,-27.3574,10,
121,1,1,2,5,1,78.6346,196.8692,47.9079,1,3,2,1,1,0,0,78.6346,56.6603,2.5324,-21.9743,10,
121,1,1,2,6,1,45.7597,16.9855,196.8736,3,1,2,3,1,0,0,196.8736,208.058,2.7853,11.1844,30,
121,1,1,1,7,1,138.2116,316.1063,79.1853,2,1,3,1,0,1,0,138.2116,113.7758,3.9586,-24.4357,10,
121,1,1,2,8,1,319.2929,289.5553,168.4982,1,3,2,1,1,0,0,319.2929,293.1121,1.9305,-26.1808,10,
121,1,1,1,9,1,287.6468,199.1499,49.2938,2,3,1,2,1,0,0,199.1499,132.986,2.9375,-66.1639,-20,
121,1,1,1,10,1,169.2518,139.5582,198.1964,1,2,3,1,1,0,0,169.2518,138.2567,2.1806,-30.9951,0,
121,1,1,2,11,1,169.1329,48.3844,286.038,1,3,2,1,1,0,0,169.1329,172.9656,4.6318,3.8328,30,
121,1,1,1,12,1,287.2569,316.9132,48.9482,1,2,3,1,1,0,0,287.2569,269.7268,2.6667,-17.5301,20,
121,1,1,1,13,1,228.7938,349.9761,315.9329,1,2,3,2,0,1,0,349.9761,25.9395,3.056,35.9634,0,
121,1,1,1,14,1,285.9688,47.1618,258.7458,1,3,2,1,1,0,0,285.9688,252.1997,2.9652,-33.7692,0,
121,1,1,2,15,1,19.6749,137.3974,346.159,1,3,2,1,1,0,0,19.6749,21.5458,2.4726,1.8709,40,
121,1,1,1,16,1,287.6548,259.506,317.7028,3,1,2,3,1,0,0,317.7028,13.8933,2.3682,56.1906,-10,
121,1,1,1,17,1,105.9911,165.9754,316.6342,3,2,1,3,1,0,0,316.6342,331.6183,1.7432,14.9841,20,
121,1,1,1,18,1,109.0699,259.4922,77.1462,2,3,1,2,1,0,0,259.4922,269.2167,2.3058,9.7244,30,
121,1,1,2,19,1,315.4649,347.3174,285.0467,3,1,2,2,0,0,1,347.3174,332.9198,2.4236,-14.3976,20,
121,1,1,2,20,1,77.1828,225.2461,105.2482,3,2,1,3,1,0,0,105.2482,63.2032,2.6805,-42.0449,-5,
121,1,1,1,21,1,17.3062,228.1966,259.5867,3,2,1,2,0,1,0,228.1966,236.3795,2.5695,8.1829,30,
