Subject,Session,Block,Condition,Trial,whetherCued,midStim,leftStim,rightStim,remCueLoc,fogCueLoc,neutralCueLoc,probeCueLoc,probeRem,probeForget,probeNeutral,Target,Estimate,RT,Error,Points
116,1,1,1,1,1,347.6621,78.5825,225.8965,3,1,2,3,1,0,0,225.8965,236.5328,1.9417,10.6363,30,
116,1,1,2,2,1,169.6783,319.0936,48.6413,3,1,2,1,0,1,0,169.6783,NaN,100000,999,0,
116,1,1,2,3,1,108.812,17.8803,78.7383,1,3,2,1,1,0,0,108.812,111.4516,1.4409,2.6396,40,
116,1,1,1,4,1,347.6614,136.397,49.7312,3,1,2,1,0,1,0,347.6614,127.8346,3.2721,140.1732,-20,
116,1,1,2,5,1,78.6346,196.8692,47.9079,1,3,2,1,1,0,0,78.6346,65.6573,1.9205,-12.9773,20,
116,1,1,2,6,1,45.7597,16.9855,196.8736,3,1,2,3,1,0,0,196.8736,229.8425,1.7015,32.9689,0,
116,1,1,1,7,1,138.2116,316.1063,79.1853,2,1,3,1,0,1,0,138.2116,119.4672,1.3912,-18.7444,20,
116,1,1,2,8,1,319.2929,289.5553,168.4982,1,3,2,1,1,0,0,319.2929,308.6655,1.6109,-10.6273,30,
116,1,1,1,9,1,287.6468,199.1499,49.2938,2,3,1,2,1,0,0,199.1499,197.6499,1.9914,-1.5,40,
116,1,1,1,10,1,169.2518,139.5582,198.1964,1,2,3,1,1,0,0,169.2518,135.9261,1.7011,-33.3257,0,
116,1,1,2,11,1,169.1329,48.3844,286.038,1,3,2,1,1,0,0,169.1329,149.751,1.2612,-19.3818,20,
116,1,1,1,12,1,287.2569,316.9132,48.9482,1,2,3,1,1,0,0,287.2569,302.5761,1.9714,15.3192,20,
116,1,1,1,13,1,228.7938,349.9761,315.9329,1,2,3,2,0,1,0,349.9761,329.3896,2.0716,-20.5865,20,
116,1,1,1,14,1,285.9688,47.1618,258.7458,1,3,2,1,1,0,0,285.9688,300.129,2.6919,14.1602,20,
116,1,1,2,15,1,19.6749,137.3974,346.159,1,3,2,1,1,0,0,19.6749,21.6379,2.0018,1.963,40,
116,1,1,1,16,1,287.6548,259.506,317.7028,3,1,2,3,1,0,0,317.7028,340.4878,2.982,22.785,10,
116,1,1,1,17,1,105.9911,165.9754,316.6342,3,2,1,3,1,0,0,316.6342,332.9201,1.6812,16.2859,20,
116,1,1,1,18,1,109.0699,259.4922,77.1462,2,3,1,2,1,0,0,259.4922,247.5008,1.291,-11.9914,30,
116,1,1,2,19,1,315.4649,347.3174,285.0467,3,1,2,2,0,0,1,347.3174,336.9001,3.7325,-10.4173,30,
116,1,1,2,20,1,77.1828,225.2461,105.2482,3,2,1,3,1,0,0,105.2482,107.0493,1.8513,1.8011,40,
116,1,1,1,21,1,17.3062,228.1966,259.5867,3,2,1,2,0,1,0,228.1966,236.8041,2.4416,8.6075,30,
116,1,1,2,22,1,19.9049,195.6352,286.1612,3,2,1,3,1,0,0,286.1612,285.7274,1.071,-0.43385,40,
116,1,1,1,23,1,19.2845,75.217,318.4581,2,3,1,2,1,0,0,75.217,68.7244,0.87065,-6.4926,30,
116,1,1,2,24,1,79.095,348.1246,228.6928,1,2,3,2,0,1,0,348.1246,NaN,100000,999,0,
116,1,1,1,25,1,49.4771,227.9126,257.9137,3,1,2,2,0,0,1,227.9126,230.3069,3.0421,2.3943,40,
