Subject,Session,Block,Condition,Trial,whetherCued,midStim,leftStim,rightStim,remCueLoc,fogCueLoc,neutralCueLoc,probeCueLoc,probeRem,probeForget,probeNeutral,Target,Estimate,RT,Error,Points
124,1,1,2,49,1,256.6999,319.2336,46.2303,3,1,2,3,1,0,0,46.2303,236.4798,1.5111,-169.7505,-20,
124,1,1,2,50,1,135.68,78.9445,105.462,3,2,1,3,1,0,0,105.462,107.7301,2.2815,2.2681,40,
124,1,1,2,51,1,75.0988,319.8215,349.8519,1,3,2,1,1,0,0,75.0988,30.1271,3.052,-44.9718,-5,
124,1,1,1,52,1,19.6916,226.2771,107.6658,2,3,1,2,1,0,0,226.2771,237.528,2.1615,11.2509,30,
124,1,1,1,53,1,138.9798,226.1669,78.0042,1,3,2,2,0,0,1,226.1669,62.426,5.9941,-163.7408,-20,
124,1,1,2,54,1,346.4868,16.9821,317.1038,3,1,2,3,1,0,0,317.1038,300.408,1.3109,-16.6958,20,
124,1,1,2,55,1,317.7541,79.3545,195.2113,2,3,1,1,0,0,1,317.7541,337.5003,2.6818,19.7462,20,
124,1,1,1,56,1,47.5997,169.9459,257.4496,2,1,3,2,1,0,0,169.9459,194.7464,1.9314,24.8005,10,
124,1,1,1,57,1,79.0846,195.9474,105.6185,1,3,2,1,1,0,0,79.0846,79.9161,2.6218,0.8315,40,
124,1,1,1,58,1,76.6599,319.1987,286.8586,1,2,3,1,1,0,0,76.6599,71.1146,1.1609,-5.5453,30,
124,1,1,1,59,1,135.784,76.6302,46.5703,1,3,2,3,0,1,0,46.5703,69.2585,2.7419,22.6882,10,
124,1,1,2,60,1,286.0726,228.3995,167.7865,1,3,2,1,1,0,0,286.0726,241.3601,2.1915,-44.7124,-5,
124,1,2,1,61,1,287.0116,195.9092,139.2813,3,1,2,1,0,1,0,287.0116,310.3826,2.0814,23.371,10,
124,1,2,2,62,1,225.9992,318.0367,107.7152,3,2,1,3,1,0,0,107.7152,111.0369,2.1314,3.3217,30,
124,1,2,2,63,1,48.791,169.4352,15.344,2,1,3,3,0,0,1,15.344,40.6531,2.3717,25.3091,10,
124,1,2,2,64,1,16.9081,317.8384,169.4393,3,1,2,3,1,0,0,169.4393,157.6051,2.0815,-11.8342,30,
124,1,2,2,65,1,139.6308,166.4925,256.6904,1,2,3,1,1,0,0,139.6308,160.9451,1.7412,21.3142,10,
124,1,2,1,66,1,346.3991,77.235,47.9379,1,2,3,3,0,0,1,47.9379,64.2872,2.3416,16.3493,20,
124,1,2,2,67,1,349.442,316.1658,289.308,3,2,1,3,1,0,0,289.308,299.3667,1.1708,10.0588,30,
124,1,2,1,68,1,287.6372,108.625,348.0371,2,3,1,3,0,1,0,348.0371,26.8047,3.6425,38.7676,0,
