Subject,Session,Block,Condition,Trial,whetherCued,midStim,leftStim,rightStim,remCueLoc,fogCueLoc,neutralCueLoc,probeCueLoc,probeRem,probeForget,probeNeutral,Target,Estimate,RT,Error,Points
118,1,1,1,1,1,347.6621,78.5825,225.8965,3,1,2,3,1,0,0,225.8965,229.0742,1.6253,3.1777,30,
118,1,1,2,2,1,169.6783,319.0936,48.6413,3,1,2,1,0,1,0,169.6783,NaN,100000,999,0,
118,1,1,2,3,1,108.812,17.8803,78.7383,1,3,2,1,1,0,0,108.812,102.61,1.2083,-6.202,30,
118,1,1,1,4,1,347.6614,136.397,49.7312,3,1,2,1,0,1,0,347.6614,255.9877,2.5421,-91.6738,-20,
118,1,1,2,5,1,78.6346,196.8692,47.9079,1,3,2,1,1,0,0,78.6346,237.0309,2.2495,158.3964,-20,
118,1,1,2,6,1,45.7597,16.9855,196.8736,3,1,2,3,1,0,0,196.8736,206.9895,1.3923,10.1159,30,
118,1,1,1,7,1,138.2116,316.1063,79.1853,2,1,3,1,0,1,0,138.2116,115.4052,1.3838,-22.8064,10,
118,1,1,2,8,1,319.2929,289.5553,168.4982,1,3,2,1,1,0,0,319.2929,312.1147,2.2005,-7.1782,30,
118,1,1,1,9,1,287.6468,199.1499,49.2938,2,3,1,2,1,0,0,199.1499,208.0786,4.3505,8.9287,30,
118,1,1,1,10,1,169.2518,139.5582,198.1964,1,2,3,1,1,0,0,169.2518,159.1377,1.5669,-10.1141,30,
118,1,1,2,11,1,169.1329,48.3844,286.038,1,3,2,1,1,0,0,169.1329,162.9339,1.6502,-6.1989,30,
118,1,1,1,12,1,287.2569,316.9132,48.9482,1,2,3,1,1,0,0,287.2569,257.5243,1.4588,-29.7326,10,
118,1,1,1,13,1,228.7938,349.9761,315.9329,1,2,3,2,0,1,0,349.9761,5.7822,2.7255,15.8061,20,
118,1,1,1,14,1,285.9688,47.1618,258.7458,1,3,2,1,1,0,0,285.9688,244.0678,2.6925,-41.901,-5,
118,1,1,2,15,1,19.6749,137.3974,346.159,1,3,2,1,1,0,0,19.6749,71.3611,2.3253,51.6862,-10,
118,1,1,1,16,1,287.6548,259.506,317.7028,3,1,2,3,1,0,0,317.7028,310.6642,1.3501,-7.0386,30,
118,1,1,1,17,1,105.9911,165.9754,316.6342,3,2,1,3,1,0,0,316.6342,312.324,1.6671,-4.3102,30,
118,1,1,1,18,1,109.0699,259.4922,77.1462,2,3,1,2,1,0,0,259.4922,276.1013,3.0094,16.6091,20,
118,1,1,2,19,1,315.4649,347.3174,285.0467,3,1,2,2,0,0,1,347.3174,315.8852,2.117,-31.4322,0,
118,1,1,2,20,1,77.1828,225.2461,105.2482,3,2,1,3,1,0,0,105.2482,110.5933,2.0087,5.3452,30,
118,1,1,1,21,1,17.3062,228.1966,259.5867,3,2,1,2,0,1,0,228.1966,237.282,1.8086,9.0853,30,
118,1,1,2,22,1,19.9049,195.6352,286.1612,3,2,1,3,1,0,0,286.1612,294.5518,0.83347,8.3906,30,
118,1,1,1,23,1,19.2845,75.217,318.4581,2,3,1,2,1,0,0,75.217,134.4294,1.8585,59.2125,-10,
118,1,1,2,24,1,79.095,348.1246,228.6928,1,2,3,2,0,1,0,348.1246,NaN,100000,999,0,
118,1,1,1,25,1,49.4771,227.9126,257.9137,3,1,2,2,0,0,1,227.9126,222.4985,1.2502,-5.4141,30,
118,1,1,2,26,1,47.0319,136.931,228.049,2,3,1,2,1,0,0,136.931,144.5422,1.2835,7.6113,30,
118,1,1,1,27,1,77.6151,16.6265,49.1592,3,2,1,3,1,0,0,49.1592,35.7746,1.5088,-13.3846,20,
118,1,1,2,28,1,137.6428,345.2572,78.7844,2,1,3,2,1,0,0,345.2572,333.2898,1.6836,-11.9674,30,
118,1,1,1,29,1,168.7425,317.7165,226.6907,3,2,1,1,0,0,1,168.7425,138.7619,2.0419,-29.9806,10,
118,1,1,2,30,1,315.1258,197.0721,138.657,2,3,1,2,1,0,0,197.0721,203.7699,1.0418,6.6977,30,
